"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","switch","rule","stimnum","prob_switch","correct_key","tasknum","practice","practice_accuracy","number_practice_combines","response","BDMquizgrade","task_displayed","slider_start","responses","question_order","TOT","overall","performance_by_block","points_list","value_list","offer_list","exp_version"
"","html-keyboard-response","44","206646","0.0-1.0-1.0-3.0-2.0-3.0","null","Please respond in time!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","45","207716","0.0-1.0-1.0-3.0-2.0-4.0","1066.255000012461","<p style=""color: green"">7</p>","75","n-switch","false","false","1","5","0.1","70","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","46","208477","0.0-1.0-1.0-3.0-2.0-5.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","47","209983","0.0-1.0-1.0-3.0-2.0-6.0","null","<p style=""color: green"">4</p>","null","n-switch","false","false","1","3","0.1","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","48","210748","0.0-1.0-1.0-3.0-2.0-7.0","null","Please respond in time!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","49","211916","0.0-1.0-1.0-3.0-2.0-8.0","1163.300000014715","<p style=""color: green"">4</p>","72","n-switch","false","false","1","3","0.1","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","50","212669","0.0-1.0-1.0-3.0-2.0-9.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","51","213774","0.0-1.0-1.0-3.0-2.0-10.0","1099.1700000013225","<p style=""color: green"">9</p>","70","n-switch","true","false","1","7","0.1","70","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","52","214537","0.0-1.0-1.0-3.0-2.0-11.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","53","215855","0.0-1.0-1.0-3.0-2.0-12.0","1313.4600000048522","<p style=""color: green"">4</p>","70","n-switch","false","false","1","3","0.1","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","54","216613","0.0-1.0-1.0-3.0-2.0-13.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","55","218015","0.0-1.0-1.0-3.0-2.0-14.0","1398.4549999877345","<p style=""color: green"">1</p>","75","n-switch","false","false","1","0","0.1","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","56","218769","0.0-1.0-1.0-3.0-2.0-15.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","57","220284","0.0-1.0-1.0-3.0-2.0-16.0","null","<p style=""color: blue"">1</p>","null","n-switch","false","true","2","0","0.1","75","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","58","221045","0.0-1.0-1.0-3.0-2.0-17.0","null","Please respond in time!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","59","222317","0.0-1.0-1.0-3.0-2.0-18.0","1268.564999976661","<p style=""color: blue"">3</p>","72","n-switch","false","false","2","2","0.1","75","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","60","223080","0.0-1.0-1.0-3.0-2.0-19.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","61","224617","0.0-1.0-1.0-3.0-3.0","1534.0549999964423","<p>Your accuracy was <strong>10%</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","10","","","","","","","","","","","","","",""
"","html-keyboard-response","62","230651","0.0-1.0-1.0-4.0-0.0","6030.7750000210945","<p> You were 10% accurate.</p><p>You are not at 80% accuracy yet.</p><p>Let's try this task again.</p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","10","","","","","","","","","","","","","",""
"","html-keyboard-response","63","241493","0.0-1.0-1.0-5.0-0.0","10840.064999996684","<p>You will get 3 more tries to get to 80% accuracy on this task.</p><p>Don't worry, most subjects need a few rounds of practice on this task.</p><p>If the feedback is more distracting than helpful, try your best to just ignore it.</p><p>[Press space bar to try again.]</p>","32","","","","","","","","","","","1","","","","","","","","","","","","",""
"","html-keyboard-response","64","247151","0.0-1.0-1.0-6.0-0.0-0.0","5654.8949999851175","<img src=""./static/img/fractal4.png"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","65","271506","0.0-1.0-1.0-6.0-1.0-0.0","24352.475000021514","<p>Now, you will be responding to both rules, one at a time, depending on the color of the number on screen.</p><p>You will use four different keys, <strong>S, F, H, and K</strong> to respond.</p><p style=""color: green"">If the number is green, you will need to respond to its magnitude (less than or greater than 5?).</p><p style=""color: blue"">If the number is blue, you will need to respond to its parity (even or odd?).</p><p>Press the space bar to practice this task.</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","66","272693","0.0-1.0-1.0-6.0-2.0-0.0","1183.7349999987055","<p style=""color: blue"">7</p>","75","n-switch","true","false","2","5","0.1","75","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","67","273450","0.0-1.0-1.0-6.0-2.0-1.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","68","274607","0.0-1.0-1.0-6.0-2.0-2.0","1153.0500000226311","<p style=""color: blue"">2</p>","72","n-switch","true","false","2","1","0.1","72","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","69","275362","0.0-1.0-1.0-6.0-2.0-3.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","70","276165","0.0-1.0-1.0-6.0-2.0-4.0","794.5999999938067","<p style=""color: blue"">1</p>","75","n-switch","true","false","2","0","0.1","75","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","71","276917","0.0-1.0-1.0-6.0-2.0-5.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","72","277940","0.0-1.0-1.0-6.0-2.0-6.0","1019.6649999998044","<p style=""color: blue"">2</p>","72","n-switch","true","false","2","1","0.1","72","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","73","278696","0.0-1.0-1.0-6.0-2.0-7.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","74","279753","0.0-1.0-1.0-6.0-2.0-8.0","1052.1949999965727","<p style=""color: green"">4</p>","83","n-switch","true","true","1","3","0.1","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","75","280520","0.0-1.0-1.0-6.0-2.0-9.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","76","281646","0.0-1.0-1.0-6.0-2.0-10.0","1121.355000010226","<p style=""color: green"">8</p>","70","n-switch","true","false","1","6","0.1","70","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","77","282408","0.0-1.0-1.0-6.0-2.0-11.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","78","283181","0.0-1.0-1.0-6.0-2.0-12.0","768.4650000010151","<p style=""color: green"">1</p>","83","n-switch","true","false","1","0","0.1","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","79","283938","0.0-1.0-1.0-6.0-2.0-13.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","80","285060","0.0-1.0-1.0-6.0-2.0-14.0","1118.5899999982212","<p style=""color: green"">4</p>","83","n-switch","true","false","1","3","0.1","83","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","81","285813","0.0-1.0-1.0-6.0-2.0-15.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","82","286610","0.0-1.0-1.0-6.0-2.0-16.0","792.2449999896344","<p style=""color: green"">9</p>","70","n-switch","true","false","1","7","0.1","70","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","83","287370","0.0-1.0-1.0-6.0-2.0-17.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","84","288067","0.0-1.0-1.0-6.0-2.0-18.0","693.28000000678","<p style=""color: green"">9</p>","70","n-switch","true","false","1","7","0.1","70","-1","true","","","","","","","","","","","","","","",""
"","html-keyboard-response","85","288821","0.0-1.0-1.0-6.0-2.0-19.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","86","290316","0.0-1.0-1.0-6.0-3.0","1493.1349999969825","<p>Your accuracy was <strong>100%</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","100","","","","","","","","","","","","","",""
"","html-keyboard-response","87","291900","0.0-1.0-1.0-13.0-0.0","1581.2150000128895","<p>Good job! You have reached 80% accuracy on this practice task. We will now move on.</p><p>[Press the space bar to continue.]</p>","32","debrief","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","88","330069","0.0-1.0-2.0-0.0-0.0","38166.12999999779","<p>Please read these instructions carefully, as you will be tested on your understanding of them.</p><p>Before each round begins, you will be asked how many points is a fair wage to be at least 80% accurate at one of the tasks you just practiced.</p><p>We want you to tell us truthfully how many points is a fair wage, and so we are using a payment process where <strong>telling the truth is the best strategy.</strong></p><p>This means that <strong>you have some control over what you will be paid</strong> at the end of the experiment.</p><p>Whenever given a choice, <strong> the best thing you can do is to always ask for what you consider to be a fair wage for at least 80% accuracy on the task.</strong></p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","89","349694","0.0-1.0-2.0-1.0-0.0","19622.254999994766","<p>What do we mean by ""fair wage""?</p><p>When you get hired to complete some work, you may ask for more or less payment based on how much you would enjoy doing that work.</p><p>For example, you might dislike mowing the lawn more than watering the garden, and may ask for more in return for mowing the lawn.</p><p>A fair wage for you is the amount of points you think it would be fair for you to receive in exchange for your completion of the task.</p><p>While you won't get paid exactly what you ask for, the best strategy is to ask for what you truly believe is a fair wage for you.</p><p>We're not going to get into the exact reasons why until the end of the experiment.</p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","90","379292","0.0-1.0-2.0-2.0-0.0","29595.604999980424","<p>In short, once you report your fair wage, the computer will present you with a <strong> random offer.</strong></p><p>If you ask for fewer points than the computer offers you, then you will complete the task and be given the points the computer offered.</p><p>Say you ask for 3 points and the computer offers 4, then if you pass the task with at least 80% accuracy, you will be given 4 points.</p><p>If you ask for more points than the computer offers you, then you will do a different task on that round. The alternate task is worth <strong>1 point.</strong></p><p>For example, if you ask for 5 points and the computer offers 4 points, then you will do something else and be given 1 point.</p><p>There is no way to game the payment system. You will either get the computer's random point offer, or 1 point for an alternative task.</p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","91","388066","0.0-1.0-2.0-3.0-0.0-0.0","8767.27499999106","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","","instructs","","","","","","","","","","","64","","","","","","","","","","","",""
"","html-keyboard-response","92","392348","0.0-1.0-2.0-3.0-1.0-0.0","4279.779999982566","<p>You asked for 3.56 points.</p><p>The computer offered 4.88 points.</p><p>Because the computer's offer is larger, you would move onto the pictured task and, if you achieved 80% accuracy on this task, you would be given 4.88 points at the end.</p><p>Press the space bar to continue.</p>","32","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","93","395042","0.0-1.0-2.0-3.0-2.0-0.0","2692.6600000006147","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","","instructs","","","","","","","","","","","32","","","","","","","","","","","",""
"","html-keyboard-response","94","404355","0.0-1.0-2.0-3.0-3.0-0.0","9311.725000006845","<p>You asked for 2.28 points.</p><p>The computer offered 1.24 points.</p><p>Because the computer's offer is smaller, you would skip the pictured task and, if you achieved 80% accuracy on an alternate task, you would be given 1 point at the end.</p><p>Press the space bar to continue.</p>","32","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","95","420672","0.0-1.0-2.0-4.0-0.0","16315.26999999187","<p><strong> Your best strategy is to always ask for what you believe is a fair wage for hitting at least 80% accuracy on 1 round of a task.</strong></p><p>We will now quiz you on the instructions you've just read. If you fail this quiz, you cannot participate in this experiment.</p><p>Press R if you'd like to read these instructions again.</p><p>Press the space bar if you'd like to move on to the quiz.</p>","32","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","96","429920","0.0-1.0-2.0-6.0-0.0","7232.600000017555","<p'font-size':15px>[Question 1 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p'font-size':25px>Imagine you think a true fair wage is 2 points. Which amount should you ask for?</p><p 'font-size':25px> A. 4</p><p 'font-size':25px> B. 2</p>","66","quiz","true","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","97","442045","0.0-1.0-2.0-6.0-0.1","10117.52499997965","<p'font-size':15px>[Question 2 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p><img src='./static/img/offer_big.png'></p><p'font-size':25px>What happens when you ask for <strong>more</strong> points than the computer offers?</p><p>A. You will start the pictured task, and get the points the computer offered if you pass that round.</p><p 'font-size':25px> B. You will start a different task and be given 1 point if you pass that round.</p>","66","quiz","true","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","98","468354","0.0-1.0-2.0-6.0-0.2","24303.66000000504","<p'font-size':15px>[Question 3 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p'font-size':25px>Under which of the following two conditions will you do the pictured task?</p><p>A. When you ask for 2 points, and the computer randomly offers 3 points.</p><p 'font-size':25px> B. When you ask for 2 points, and the computer randomly offers 1 point.</p>","65","quiz","true","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","99","479735","0.0-1.0-2.0-6.0-0.3","9361.225000000559","<p'font-size':15px>[Question 4 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p><img src='./static/img/offer_small.png'></p><p'font-size':25px>What happens when you ask for <strong>fewer</strong> points than the computer offers?</p><p>A. You will start the task, and get the points the computer offered if you pass that round.</p><p 'font-size':25px> B. You will start a different task and be given 1 point if you pass that round.</p>","65","quiz","true","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","100","489635","0.0-1.0-2.0-6.0-0.4","7885.915000020759","<p'font-size':15px>[Question 5 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p'font-size':25px>Under which of the following two conditions will you <strong>not</strong> do the pictured task?</p><p>A. When you ask for 3 points, and the computer randomly offers 2 points.</p><p 'font-size':25px> B. When you ask for 3 points, and the computer randomly offers 4 points.</p>","66","quiz","false","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","101","506256","0.0-1.0-2.0-6.0-0.5","14612.515000015264","<p'font-size':15px>[Question 6 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p'font-size':25px>Which is the correct strategy for asking for points?</p><p>A. Ask for as many points as possible.</p><p 'font-size':25px> B. Tell the truth about what is a fair wage for you.</p>","66","quiz","true","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","102","509059","0.0-1.0-2.0-7.0-0.0","2800.374999991618","<p>Great job! We will now begin the real experiment.</p><p>[Press the space bar to continue.]</p>","32","BDMquiz","","","","","","","","","","","","83.33333333333334","","","","","","","","","","",""
"","html-keyboard-response","103","519855","0.0-1.0-3.0-0.0","10793.680000002496","<p>The real experiment will now start. </p><p>For each round of the experiment, you will be asked how many points you would like to earn to complete a task.</p><p>If you ask for more points than a randomly generated number, you will not complete that task. </p><p>Instead, you will complete a different task and earn 1 point.</p><p>At the end of the experiment, the points you earn will be counted and turned into a bonus payment. $$</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","104","546601","0.0-1.0-4.0-0.0","26743.969999981346","<p>Pay attention! If you are not at least 80% accurate, you will not earn points for completing each task.</p><p>You will not be getting the same amount of feedback on your performance in the real experiment.</p><p>If you press a button, the stimulus on screen will change color to show you that the computer registered your response.</p><p>At the end of the experiment, we'll ask you to complete some optional survey questions.</p><p>If we can tell that you are not paying attention (not accurate enough or not responding quickly enough), then this experiment will end early and you will earn a smaller payment. $$</p><p>[Press the space bar to begin the real experiment.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","105","556181","0.0-2.0-0.0-0.0","9574.499999987893","<img src=""./static/img/fractal4.png"" width=""250"" height=""250""","","BDM","","","","","","","0","","","","40","","3","13.234151915996994","","","","","","","","",""
"","html-keyboard-response","106","564147","0.0-2.0-1.0-0.0","7962.814999977127","<p style='font-size':25px> You want <strong> 2.60 </strong> points. </p> <p> The computer offers <strong>1.92</strong> points. </p><p> You will do the following task instead to earn 1 point. </p> <img src=""./static/img/fractal4.png"" width=""250"" height=""250"" location='center'></img><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","107","564254","0.0-2.0-3.0-0.0","null","+","null","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","108","574675","0.0-2.0-3.0-1.0-0.0","10418.610000022454","<p>In this task, you will need to follow different rules depending on the color of the numbers on screen.</p><p style=""color: green"">If the number is green, you will need to respond to its magnitude (less than or greater than 5?).</p><p style=""color: blue"">If the number is blue, you will need to respond to its parity (even or odd?).</p><p> As a reminder, the response keys are: </p><p><strong> S   F   H   K </strong></p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","109","576180","0.0-2.0-3.0-2.0-0.0","null","<p style=""color: blue"" >7</p>","null","n-switch","false","true","2","5","0.1","75","0","false","","","","","","","","","","","","","","",""
