"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","switch","rule","stimnum","prob_switch","correct_key","tasknum","practice","practice_accuracy","response","BDMquizgrade","task_displayed","slider_start","responses","question_order","TOT","overall","performance_by_block","points_list","value_list","offer_list","exp_version"
"","categorize-html","10","17296","0.0-1.0-1.0-1.0-1.0-6.0","457.41500006988645","<p style=""color: blue"">8</p>","83","n-switch","true","false","2","6","0","83","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","11","18050","0.0-1.0-1.0-1.0-1.0-7.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","12","18921","0.0-1.0-1.0-1.0-1.0-8.0","867.1750000212342","<p style=""color: blue"">3</p>","70","n-switch","true","false","2","2","0","70","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","13","19673","0.0-1.0-1.0-1.0-1.0-9.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","14","20403","0.0-1.0-1.0-1.0-1.0-10.0","723.7949999980628","<p style=""color: blue"">9</p>","70","n-switch","true","false","2","7","0","70","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","15","21158","0.0-1.0-1.0-1.0-1.0-11.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","16","22017","0.0-1.0-1.0-1.0-1.0-12.0","854.8899999586865","<p style=""color: blue"">1</p>","70","n-switch","true","false","2","0","0","70","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","17","22769","0.0-1.0-1.0-1.0-1.0-13.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","18","24133","0.0-1.0-1.0-1.0-1.0-14.0","1360.6700000818819","<p style=""color: blue"">6</p>","83","n-switch","true","false","2","4","0","83","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","19","24887","0.0-1.0-1.0-1.0-1.0-15.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","25418","0.0-1.0-1.0-1.0-2.0","528.6799999885261","<p>You were <strong>87.5% accurate</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","87.5","","","","","","","","","","","","",""
"","html-keyboard-response","21","26138","0.0-1.0-1.0-2.0-0.0-0.0","718.7200000043958","<p>Let's practice following the magnitude (less than or greater than 5?) rule.</p><p>On the next screen, please respond to the magnitude (less than or greater than 5?) of the numbers on screen.</p><p>Press <strong>H</strong> if the number is smaller.</p><p>Press <strong>K</strong> if the number is larger.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","22","26847","0.0-1.0-1.0-2.0-1.0-0.0","704.9800000386313","<p style=""color: red"">6</p>","75","n-switch","true","false","1","4","0","75","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","23","27600","0.0-1.0-1.0-2.0-1.0-1.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","24","28025","0.0-1.0-1.0-2.0-1.0-2.0","420.285000000149","<p style=""color: red"">9</p>","75","n-switch","true","false","1","7","0","75","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","25","28789","0.0-1.0-1.0-2.0-1.0-3.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","26","29198","0.0-1.0-1.0-2.0-1.0-4.0","406.03499999269843","<p style=""color: red"">3</p>","72","n-switch","true","false","1","2","0","72","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","27","29952","0.0-1.0-1.0-2.0-1.0-5.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","28","31026","0.0-1.0-1.0-2.0-1.0-6.0","1069.5050000213087","<p style=""color: red"">1</p>","72","n-switch","true","false","1","0","0","72","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","29","31782","0.0-1.0-1.0-2.0-1.0-7.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","30","32288","0.0-1.0-1.0-2.0-1.0-8.0","502.9550000326708","<p style=""color: red"">1</p>","72","n-switch","true","false","1","0","0","72","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","31","33045","0.0-1.0-1.0-2.0-1.0-9.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","32","33728","0.0-1.0-1.0-2.0-1.0-10.0","679.0599999949336","<p style=""color: red"">8</p>","75","n-switch","true","false","1","6","0","75","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","33","34481","0.0-1.0-1.0-2.0-1.0-11.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","34","35165","0.0-1.0-1.0-2.0-1.0-12.0","680.6749999523163","<p style=""color: red"">9</p>","75","n-switch","true","false","1","7","0","75","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","35","35922","0.0-1.0-1.0-2.0-1.0-13.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","36","36448","0.0-1.0-1.0-2.0-1.0-14.0","522.5850000279024","<p style=""color: red"">4</p>","72","n-switch","true","false","1","3","0","72","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","37","37205","0.0-1.0-1.0-2.0-1.0-15.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","38","37738","0.0-1.0-1.0-2.0-2.0","531.2599999597296","<p>You were <strong>100% accurate</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","100","","","","","","","","","","","","",""
"","html-keyboard-response","39","38198","0.0-1.0-1.0-3.0-0.0-0.0","458.0800000112504","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","40","41011","0.0-1.0-1.0-3.0-1.0-0.0","2811.280000023544","<p>Now, let's practice responding to both rules.</p><p>You will be responding to both rules, one at a time, depending on the color of the number on screen.</p><p>You will use four different keys, <strong>S, F, H, and K</strong> to respond.</p><p style=""color: red"">If the number is red, you will need to respond to its magnitude (less than or greater than 5?).</p><p style=""color: blue"">If the number is blue, you will need to respond to its parity (even or odd?).</p><p>Press the space bar to practice this task.</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","41","41987","0.0-1.0-1.0-3.0-2.0-0.0","972.6900000823662","<p style=""color: red"">6</p>","75","n-switch","true","false","1","4","0.9","75","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","42","42752","0.0-1.0-1.0-3.0-2.0-1.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","43","43195","0.0-1.0-1.0-3.0-2.0-2.0","440.15000003855675","<p style=""color: red"">8</p>","75","n-switch","true","false","1","6","0.9","75","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","44","43952","0.0-1.0-1.0-3.0-2.0-3.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","45","44486","0.0-1.0-1.0-3.0-2.0-4.0","530.7050000410527","<p style=""color: red"">7</p>","75","n-switch","true","false","1","5","0.9","75","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","46","45239","0.0-1.0-1.0-3.0-2.0-5.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","47","46002","0.0-1.0-1.0-3.0-2.0-6.0","759.2549999244511","<p style=""color: red"">3</p>","72","n-switch","true","false","1","2","0.9","72","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","48","46758","0.0-1.0-1.0-3.0-2.0-7.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","49","47443","0.0-1.0-1.0-3.0-2.0-8.0","679.2999999597669","<p style=""color: blue"">6</p>","70","n-switch","false","true","2","4","0.9","83","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","50","48197","0.0-1.0-1.0-3.0-2.0-9.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","51","48971","0.0-1.0-1.0-3.0-2.0-10.0","770.9000000031665","<p style=""color: blue"">7</p>","70","n-switch","true","false","2","5","0.9","70","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","52","49749","0.0-1.0-1.0-3.0-2.0-11.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","53","50674","0.0-1.0-1.0-3.0-2.0-12.0","920.7150000147521","<p style=""color: red"">8</p>","75","n-switch","true","true","1","6","0.9","75","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","54","51427","0.0-1.0-1.0-3.0-2.0-13.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","55","52178","0.0-1.0-1.0-3.0-2.0-14.0","747.3849999951199","<p style=""color: red"">2</p>","72","n-switch","true","false","1","1","0.9","72","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","56","52934","0.0-1.0-1.0-3.0-2.0-15.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","57","54101","0.0-1.0-1.0-3.0-2.0-16.0","1163.9900000300258","<p style=""color: red"">7</p>","75","n-switch","true","false","1","5","0.9","75","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","58","54859","0.0-1.0-1.0-3.0-2.0-17.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","59","55829","0.0-1.0-1.0-3.0-2.0-18.0","966.6849999921396","<p style=""color: blue"">9</p>","70","n-switch","true","true","2","7","0.9","70","-1","true","","","","","","","","","","","","","",""
"","html-keyboard-response","60","56585","0.0-1.0-1.0-3.0-2.0-19.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","61","61259","0.0-1.0-1.0-3.0-3.0","4671.150000067428","<p>Your accuracy was <strong>90%</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","90","","","","","","","","","","","","",""
"","html-keyboard-response","62","62262","0.0-1.0-1.0-13.0-0.0","1000.5400000372902","<p>Good job! You have reached 80% accuracy on this practice task. We will now explain how the payment process for this experiment will work.</p><p>[Press the space bar to continue.]</p>","32","debrief","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","63","69954","0.0-1.0-2.0-0.0-0.0","7689.015000010841","<p>Please read these instructions carefully, as you will be tested on your understanding of them.</p><p>Before each round begins, you will be asked how many points is a fair wage to be at least 80% accurate at one of the tasks you just practiced.</p><p>We want you to tell us truthfully how many points is a fair wage, and so we are using a payment process where <strong>telling the truth is the best strategy.</strong></p><p>This means that <strong>you have some control over what you will be paid</strong> at the end of the experiment.</p><p>Whenever given a choice, <strong> the best thing you can do is to always ask for what you consider to be a fair wage for at least 80% accuracy on the task.</strong></p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","64","85614","0.0-1.0-2.0-1.0-0.0","15657.619999954477","<p>What do we mean by ""fair wage""?</p><p>When you get hired to complete some work, you may ask for more or less payment based on how much you would enjoy doing that work.</p><p>For example, you might dislike mowing the lawn more than watering the garden, and may ask for more in return for mowing the lawn.</p><p>A fair wage for you is the amount of points you think it would be fair for you to receive in exchange for your completion of the task.</p><p>While you won't get paid exactly what you ask for, the best strategy is to ask for what you truly believe is a fair wage for you.</p><p>We're not going to get into the exact reasons why until the end of the experiment.</p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","65","86004","0.0-1.0-2.0-2.0-0.0","388.30999995116144","<p>In short, once you report your fair wage, the computer will present you with a <strong> random offer.</strong></p><p>If you ask for fewer points than the computer offers you, then you will complete the task and be given the points the computer offered.</p><p>Say you ask for 3 points and the computer offers 4, then if you pass the task with at least 80% accuracy, you will be given 4 points.</p><p>If you ask for more points than the computer offers you, then you will do a different task on that round. The alternate task is worth <strong>1 point.</strong></p><p>For example, if you ask for 5 points and the computer offers 4 points, then you will do something else and be given 1 point.</p><p>There is no way to game the payment system. You will either get the computer's random point offer, or 1 point for an alternative task.</p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","66","87764","0.0-1.0-2.0-3.0-0.0-0.0","1756.2949999701232","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","","instructs","","","","","","","","","","48","","","","","","","","","","","",""
"","html-keyboard-response","67","87981","0.0-1.0-2.0-3.0-1.0-0.0","214.25999992061406","<p>You asked for 2.92 points.</p><p>The computer offered 4.88 points.</p><p>Because the computer's offer is larger, you would move onto the pictured task and, if you achieved 80% accuracy on this task, you would be given 4.88 points at the end.</p><p>Press the space bar to continue.</p>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","68","89555","0.0-1.0-2.0-3.0-2.0-0.0","1571.2649999186397","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","","instructs","","","","","","","","","","92","","","","","","","","","","","",""
"","html-keyboard-response","69","89954","0.0-1.0-2.0-3.0-3.0-0.0","396.8600000953302","<p>You asked for 4.68 points.</p><p>The computer offered 1.24 points.</p><p>Because the computer's offer is smaller, you would skip the pictured task and, if you achieved 80% accuracy on an alternate task, you would be given 1 point at the end.</p><p>Press the space bar to continue.</p>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","70","240777","0.0-1.0-2.0-4.0-0.0","150821.72499992885","<p><strong> Your best strategy is to always ask for what you believe is a fair wage for hitting at least 80% accuracy on 1 round of a task.</strong></p><p>We will now quiz you on the instructions you've just read. If you fail this quiz, you cannot participate in this experiment.</p><p>Press R if you'd like to read these instructions again.</p><p>Press the space bar if you'd like to move on to the quiz.</p>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","71","243698","0.0-1.0-2.0-6.0-0.0","914.5349999889731","<p'font-size':15px>[Question 1 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p'font-size':25px>Imagine you think a true fair wage is 2 points. Which amount should you ask for?</p><p 'font-size':25px> A. 4</p><p 'font-size':25px> B. 2</p>","66","quiz","true","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","72","246004","0.0-1.0-2.0-6.0-0.1","299.8049999587238","<p'font-size':15px>[Question 2 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p><img src='./static/img/offer_big.png'></p><p'font-size':25px>What happens when you ask for <strong>more</strong> points than the computer offers?</p><p>A. You will start the pictured task, and get the points the computer offered if you pass that round.</p><p 'font-size':25px> B. You will start a different task and be given 1 point if you pass that round.</p>","66","quiz","true","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","73","248326","0.0-1.0-2.0-6.0-0.2","317.3650000244379","<p'font-size':15px>[Question 3 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p'font-size':25px>Under which of the following two conditions will you do the pictured task?</p><p>A. When you ask for 2 points, and the computer randomly offers 3 points.</p><p 'font-size':25px> B. When you ask for 2 points, and the computer randomly offers 1 point.</p>","65","quiz","true","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","74","250709","0.0-1.0-2.0-6.0-0.3","376.07500003650784","<p'font-size':15px>[Question 4 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p><img src='./static/img/offer_small.png'></p><p'font-size':25px>What happens when you ask for <strong>fewer</strong> points than the computer offers?</p><p>A. You will start the task, and get the points the computer offered if you pass that round.</p><p 'font-size':25px> B. You will start a different task and be given 1 point if you pass that round.</p>","65","quiz","true","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","75","253220","0.0-1.0-2.0-6.0-0.4","505.4000000236556","<p'font-size':15px>[Question 5 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p'font-size':25px>Under which of the following two conditions will you <strong>not</strong> do the pictured task?</p><p>A. When you ask for 3 points, and the computer randomly offers 2 points.</p><p 'font-size':25px> B. When you ask for 3 points, and the computer randomly offers 4 points.</p>","65","quiz","true","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","76","255685","0.0-1.0-2.0-6.0-0.5","457.4299999512732","<p'font-size':15px>[Question 6 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p'font-size':25px>Which is the correct strategy for asking for points?</p><p>A. Ask for as many points as possible.</p><p 'font-size':25px> B. Tell the truth about what is a fair wage for you.</p>","66","quiz","true","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","77","256405","0.0-1.0-2.0-7.0-0.0","717.475000070408","<p>Great job! We will now begin the real experiment.</p><p>[Press the space bar to continue.]</p>","32","BDMquiz","","","","","","","","","","","100","","","","","","","","","","",""
"","html-keyboard-response","78","286407","0.0-1.0-3.0-0.0","null","<p>The real experiment will now start. </p><p>For each round of the experiment, you will be asked how many points you would like to earn to complete a task.</p><p>If you ask for more points than a randomly generated number, you will not complete that task. </p><p>Instead, you will complete a different task and earn 1 point.</p><p>At the end of the experiment, the points you earn will be counted and turned into a bonus payment. $$</p><p>[Press the space bar to continue.]</p>","null","instructions","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","79","316410","0.0-1.0-4.0-0.0","null","<p>Pay attention! If you are not at least 80% accurate, you will not earn points for completing each task.</p><p>You will not be getting the same amount of feedback on your performance in the real experiment.</p><p>If you press a button, the stimulus on screen will change color to show you that the computer registered your response.</p><p>At the end of the experiment, we'll ask you to complete some optional survey questions.</p><p>If we can tell that you are not paying attention (not accurate enough or not responding quickly enough), then this experiment will end early and you will earn a smaller payment. $$</p><p>[Press the space bar to begin the real experiment.]</p>","null","instructions","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","80","325333","0.0-2.0-0.0-0.0","8921.289999969304","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","","BDM","","","","","","","0","","","4","","3","68.23123131606354","","","","","","","","",""
"","html-keyboard-response","81","335328","0.0-2.0-1.0-0.0","9992.044999962673","<p style='font-size':25px> You want <strong> 1.16 </strong> points. </p> <p> The computer offers <strong>4.28</strong> points. </p><p> You will be given 4.28 points if you achieve at least 80% accuracy on this task. </p><img src=""./static/img/fractal3.jpg"" width=""250"" height=""250"" location='center'></img><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","82","335431","0.0-2.0-2.0-0.0","null","+","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","83","350611","0.0-2.0-2.0-1.0-0.0","15177.860000054352","<p>In this task, you will need to follow different rules depending on the color of the numbers on screen.</p><p style=""color: red"">If the number is red, you will need to respond to its magnitude (less than or greater than 5?).</p><p style=""color: blue"">If the number is blue, you will need to respond to its parity (even or odd?).</p><p> As a reminder, the response keys are: </p><p><strong> S   F   H   K </strong></p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","84","351724","0.0-2.0-2.0-2.0-0.0","1109.584999969229","<p style=""color: red"" >1</p>","75","n-switch","false","true","1","0","0.9","72","0","false","","","","","","","","","","","","","",""
"","html-keyboard-response","85","352118","0.0-2.0-2.0-2.0-1.0","null","<p style=""color: black"">1</p>","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","86","352422","0.0-2.0-2.0-2.0-2.0","null"," ","null","ITI","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","87","353496","0.0-2.0-2.0-2.0-3.0","1070.5550001002848","<p style=""color: blue"" >2</p>","75","n-switch","false","true","2","1","0.9","83","0","false","","","","","","","","","","","","","",""
"","html-keyboard-response","88","353929","0.0-2.0-2.0-2.0-4.0","null","<p style=""color: black"">2</p>","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","89","354233","0.0-2.0-2.0-2.0-5.0","null"," ","null","ITI","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","90","355295","0.0-2.0-2.0-2.0-6.0","1058.6399999447167","<p style=""color: red"" >8</p>","70","n-switch","false","true","1","6","0.9","75","0","false","","","","","","","","","","","","","",""
"","html-keyboard-response","91","355742","0.0-2.0-2.0-2.0-7.0","null","<p style=""color: black"">8</p>","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","92","356048","0.0-2.0-2.0-2.0-8.0","null"," ","null","ITI","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","93","357006","0.0-2.0-2.0-2.0-9.0","954.4549999991432","<p style=""color: blue"" >2</p>","70","n-switch","false","true","2","1","0.9","83","0","false","","","","","","","","","","","","","",""
"","html-keyboard-response","94","357554","0.0-2.0-2.0-2.0-10.0","null","<p style=""color: black"">2</p>","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","95","357857","0.0-2.0-2.0-2.0-11.0","null"," ","null","ITI","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","96","359013","0.0-2.0-2.0-2.0-12.0","1151.9300000509247","<p style=""color: red"" >2</p>","83","n-switch","false","true","1","1","0.9","72","0","false","","","","","","","","","","","","","",""
"","html-keyboard-response","97","359365","0.0-2.0-2.0-2.0-13.0","null","<p style=""color: black"">2</p>","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","98","359670","0.0-2.0-2.0-2.0-14.0","null"," ","null","ITI","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","99","360358","0.0-2.0-2.0-2.0-15.0","685.0900000426918","<p style=""color: blue"" >4</p>","83","n-switch","true","true","2","3","0.9","83","0","false","","","","","","","","","","","","","",""
"","html-keyboard-response","100","361175","0.0-2.0-2.0-2.0-16.0","null","<p style=""color: black"">4</p>","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","101","361480","0.0-2.0-2.0-2.0-17.0","null"," ","null","ITI","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","102","362079","0.0-2.0-2.0-2.0-18.0","595.7900000503287","<p style=""color: blue"" >2</p>","83","n-switch","true","false","2","1","0.9","83","0","false","","","","","","","","","","","","","",""
"","html-keyboard-response","103","362989","0.0-2.0-2.0-2.0-19.0","null","<p style=""color: black"">2</p>","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","104","363290","0.0-2.0-2.0-2.0-20.0","null"," ","null","ITI","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","105","363782","0.0-2.0-2.0-2.0-21.0","488.12499991618097","<p style=""color: red"" >4</p>","72","n-switch","true","true","1","3","0.9","72","0","false","","","","","","","","","","","","","",""
"","html-keyboard-response","106","364798","0.0-2.0-2.0-2.0-22.0","null","<p style=""color: black"">4</p>","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","107","365101","0.0-2.0-2.0-2.0-23.0","null"," ","null","ITI","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","108","365960","0.0-2.0-2.0-2.0-24.0","855.5099999066442","<p style=""color: blue"" >4</p>","83","n-switch","true","true","2","3","0.9","83","0","false","","","","","","","","","","","","","",""
"","html-keyboard-response","109","366610","0.0-2.0-2.0-2.0-25.0","null","<p style=""color: black"">4</p>","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","110","366913","0.0-2.0-2.0-2.0-26.0","null"," ","null","ITI","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","111","367913","0.0-2.0-2.0-2.0-27.0","995.8250001072884","<p style=""color: red"" >9</p>","75","n-switch","true","true","1","7","0.9","75","0","false","","","","","","","","","","","","","",""
"","html-keyboard-response","112","368422","0.0-2.0-2.0-2.0-28.0","null","<p style=""color: black"">9</p>","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","113","368741","0.0-2.0-2.0-2.0-29.0","null"," ","null","ITI","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","114","369687","0.0-2.0-2.0-2.0-30.0","942.8899999475107","<p style=""color: blue"" >1</p>","83","n-switch","false","true","2","0","0.9","70","0","false","","","","","","","","","","","","","",""
"","html-keyboard-response","115","370246","0.0-2.0-2.0-2.0-31.0","null","<p style=""color: black"">1</p>","null","feedback","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","116","370552","0.0-2.0-2.0-2.0-32.0","null"," ","null","ITI","","","","","","","","","","","","","","","","","","","","","",""
