"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","detect","correct_key","task","tasknum","training_performance","nback","n","practice","practice_accuracy","response","slider_start","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"2090.814999770373","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","html-keyboard-response","24","148544","0.0-0.0-2.0-0.0-0.0","","","","","","","","","","","","","","","","","","",""
"21202.985000330955","<p>In this task, you will need to press <strong>K</strong> every time you see the same letter you saw <strong>1</strong> trial ago.</p> <p>If the image on screen was not the one you saw <strong>1</strong> trial ago, do not press anything.</p><p>Pay attention! If you are not at least 80% accurate by the last practice game, you will not progress to the real experiment.</p><p>Press space to begin.</p>","32","html-keyboard-response","25","169748","0.0-0.0-2.0-1.0-0.0","","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","26","171257","0.0-0.0-2.0-2.0-0.0","false","","90","n-back","-1","","false","1","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","27","172013","0.0-0.0-2.0-2.0-1.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","28","173523","0.0-0.0-2.0-2.0-2.0","false","","90","n-back","-1","","false","1","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","29","174278","0.0-0.0-2.0-2.0-3.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","30","175794","0.0-0.0-2.0-2.0-4.0","false","","90","n-back","-1","","false","1","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","31","176546","0.0-0.0-2.0-2.0-5.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","32","178056","0.0-0.0-2.0-2.0-6.0","false","","75","n-back","-1","","true","1","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","33","178812","0.0-0.0-2.0-2.0-7.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","34","180318","0.0-0.0-2.0-2.0-8.0","false","","90","n-back","-1","","false","1","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","35","181073","0.0-0.0-2.0-2.0-9.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","36","182586","0.0-0.0-2.0-2.0-10.0","false","","75","n-back","-1","","true","1","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","37","183342","0.0-0.0-2.0-2.0-11.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","38","184855","0.0-0.0-2.0-2.0-12.0","false","","75","n-back","-1","","true","1","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","39","185608","0.0-0.0-2.0-2.0-13.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","categorize-html","40","187118","0.0-0.0-2.0-2.0-14.0","false","","90","n-back","-1","","false","1","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","41","187874","0.0-0.0-2.0-2.0-15.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","42","189381","0.0-0.0-2.0-2.0-16.0","false","","90","n-back","-1","","false","1","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","43","190132","0.0-0.0-2.0-2.0-17.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","44","191643","0.0-0.0-2.0-2.0-18.0","false","","90","n-back","-1","","false","1","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","45","192395","0.0-0.0-2.0-2.0-19.0","","","","feedback","","","","","","","","","","","","","","",""
"7644.074999727309","<p>Your accuracy was <strong>70.00%</strong>.</p><p>You will need to be at least 80% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","html-keyboard-response","46","200041","0.0-0.0-2.0-3.0","","","","","","70.00","","","","","","","","","","","","",""
"1950.7750002667308","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","html-keyboard-response","47","201993","0.0-0.0-3.0-0.0-0.0","","","","","","","","","","","","","","","","","","",""
"17340.565000195056","<p>In this task, you will need to press <strong>K</strong> every time you see the same letter you saw <strong>2</strong> trials ago.</p> <p>If the image on screen was not the one you saw <strong>2</strong> trials ago, do not press anything.</p><p>Pay attention! If you are not at least 80% accurate by the last practice game, you will not progress to the real experiment.</p><p>Press space to begin.</p>","32","html-keyboard-response","48","219334","0.0-0.0-3.0-1.0-0.0","","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","categorize-html","49","220838","0.0-0.0-3.0-2.0-0.0","false","","90","n-back","-1","","false","2","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","50","221592","0.0-0.0-3.0-2.0-1.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","51","223101","0.0-0.0-3.0-2.0-2.0","false","","90","n-back","-1","","false","2","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","52","223853","0.0-0.0-3.0-2.0-3.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","categorize-html","53","225365","0.0-0.0-3.0-2.0-4.0","false","","75","n-back","-1","","true","2","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","54","226118","0.0-0.0-3.0-2.0-5.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","55","227631","0.0-0.0-3.0-2.0-6.0","false","","75","n-back","-1","","true","2","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","56","228384","0.0-0.0-3.0-2.0-7.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","categorize-html","57","229897","0.0-0.0-3.0-2.0-8.0","false","","75","n-back","-1","","true","2","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","58","230650","0.0-0.0-3.0-2.0-9.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","categorize-html","59","232162","0.0-0.0-3.0-2.0-10.0","false","","90","n-back","-1","","false","2","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","60","232917","0.0-0.0-3.0-2.0-11.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","61","234429","0.0-0.0-3.0-2.0-12.0","false","","90","n-back","-1","","false","2","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","62","235183","0.0-0.0-3.0-2.0-13.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","categorize-html","63","236694","0.0-0.0-3.0-2.0-14.0","false","","75","n-back","-1","","true","2","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","64","237447","0.0-0.0-3.0-2.0-15.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","65","238960","0.0-0.0-3.0-2.0-16.0","false","","90","n-back","-1","","false","2","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","66","239713","0.0-0.0-3.0-2.0-17.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","67","241225","0.0-0.0-3.0-2.0-18.0","false","","90","n-back","-1","","false","2","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","68","241978","0.0-0.0-3.0-2.0-19.0","","","","feedback","","","","","","","","","","","","","","",""
"4643.855000380427","<p>Your accuracy was <strong>60.00%</strong>.</p><p>You will need to be at least 80% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","html-keyboard-response","69","246623","0.0-0.0-3.0-3.0","","","","","","60.00","","","","","","","","","","","","",""
"4759.025000035763","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","html-keyboard-response","70","251384","0.0-0.0-4.0-0.0-0.0","","","","","","","","","","","","","","","","","","",""
"16360.245000105351","<p>In this task, you will need to press <strong>K</strong> every time you see the same letter you saw <strong>3</strong> trials ago.</p> <p>If the image on screen was not the one you saw <strong>3</strong> trials ago, do not press anything.</p><p>Pay attention! If you are not at least 80% accurate by the last practice game, you will not progress to the real experiment.</p><p>Press space to begin.</p>","32","html-keyboard-response","71","267745","0.0-0.0-4.0-1.0-0.0","","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","72","269248","0.0-0.0-4.0-2.0-0.0","false","","90","n-back","-1","","false","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","73","270002","0.0-0.0-4.0-2.0-1.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","74","271515","0.0-0.0-4.0-2.0-2.0","false","","90","n-back","-1","","false","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","75","272269","0.0-0.0-4.0-2.0-3.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","categorize-html","76","273781","0.0-0.0-4.0-2.0-4.0","false","","90","n-back","-1","","false","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","77","274534","0.0-0.0-4.0-2.0-5.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","78","276043","0.0-0.0-4.0-2.0-6.0","false","","75","n-back","-1","","true","3","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","79","276796","0.0-0.0-4.0-2.0-7.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","80","278311","0.0-0.0-4.0-2.0-8.0","false","","75","n-back","-1","","true","3","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","81","279063","0.0-0.0-4.0-2.0-9.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","82","280574","0.0-0.0-4.0-2.0-10.0","false","","90","n-back","-1","","false","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","83","281326","0.0-0.0-4.0-2.0-11.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","84","282842","0.0-0.0-4.0-2.0-12.0","false","","75","n-back","-1","","true","3","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","85","283595","0.0-0.0-4.0-2.0-13.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","86","285105","0.0-0.0-4.0-2.0-14.0","false","","75","n-back","-1","","true","3","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","87","285858","0.0-0.0-4.0-2.0-15.0","","","","feedback","","","","","","","","","","","","","","",""
"976.494999602437","<p>X</p>","75","categorize-html","88","286837","0.0-0.0-4.0-2.0-16.0","true","","75","n-back","-1","","true","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","89","287593","0.0-0.0-4.0-2.0-17.0","","","","feedback","","","","","","","","","","","","","","",""
"545.2049998566508","<p>X</p>","75","categorize-html","90","288143","0.0-0.0-4.0-2.0-18.0","false","","90","n-back","-1","","false","3","true","","","","","","","","","",""
"null","Not a match! Press nothing.","null","html-keyboard-response","91","288894","0.0-0.0-4.0-2.0-19.0","","","","feedback","","","","","","","","","","","","","","",""
"3016.2100000306964","<p>Your accuracy was <strong>50.00%</strong>.</p><p>You will need to be at least 80% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","html-keyboard-response","92","291916","0.0-0.0-4.0-3.0","","","","","","50.00","","","","","","","","","","","","",""
"6194.015000015497","Let's try this practice task once more. You have to be 80% accurate to progress to the real experiment.","32","html-keyboard-response","93","298111","0.0-0.0-5.0-0.0","","","","","","","","","","100.00","","","","","","","","",""
"1466.454999987036","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","html-keyboard-response","94","299578","0.0-0.0-6.0-0.0-0.0","","","","","","","","","","","","","","","","","","",""
"11145.89500008151","<p>In this task, you will need to press <strong>K</strong> every time you see the same letter you saw <strong>3</strong> trials ago.</p> <p>If the image on screen was not the one you saw <strong>3</strong> trials ago, do not press anything.</p><p>Pay attention! If you are not at least 80% accurate by the last practice game, you will not progress to the real experiment.</p><p>Press space to begin.</p>","32","html-keyboard-response","95","310725","0.0-0.0-6.0-1.0-0.0","","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","96","312228","0.0-0.0-6.0-2.0-0.0","false","","90","n-back","-1","","false","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","97","312983","0.0-0.0-6.0-2.0-1.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","98","314495","0.0-0.0-6.0-2.0-2.0","false","","90","n-back","-1","","false","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","99","315248","0.0-0.0-6.0-2.0-3.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","categorize-html","100","316763","0.0-0.0-6.0-2.0-4.0","false","","90","n-back","-1","","false","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","101","317518","0.0-0.0-6.0-2.0-5.0","","","","feedback","","","","","","","","","","","","","","",""
"714.6649998612702","<p>X</p>","75","categorize-html","102","318235","0.0-0.0-6.0-2.0-6.0","true","","75","n-back","-1","","true","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","103","318987","0.0-0.0-6.0-2.0-7.0","","","","feedback","","","","","","","","","","","","","","",""
"1182.1550000458956","<p>X</p>","75","categorize-html","104","320171","0.0-0.0-6.0-2.0-8.0","true","","75","n-back","-1","","true","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","105","320925","0.0-0.0-6.0-2.0-9.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","categorize-html","106","322429","0.0-0.0-6.0-2.0-10.0","false","","75","n-back","-1","","true","3","true","","","","","","","","","",""
"null","Press <strong>K</strong> when you see a match.","null","html-keyboard-response","107","323181","0.0-0.0-6.0-2.0-11.0","","","","feedback","","","","","","","","","","","","","","",""
"726.35000012815","<p>X</p>","75","categorize-html","108","323910","0.0-0.0-6.0-2.0-12.0","true","","75","n-back","-1","","true","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","109","324663","0.0-0.0-6.0-2.0-13.0","","","","feedback","","","","","","","","","","","","","","",""
"793.1749997660518","<p>X</p>","75","categorize-html","110","325460","0.0-0.0-6.0-2.0-14.0","true","","75","n-back","-1","","true","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","111","326212","0.0-0.0-6.0-2.0-15.0","","","","feedback","","","","","","","","","","","","","","",""
"431.0150002129376","<p>X</p>","75","categorize-html","112","326653","0.0-0.0-6.0-2.0-16.0","false","","90","n-back","-1","","false","3","true","","","","","","","","","",""
"null","Not a match! Press nothing.","null","html-keyboard-response","113","327409","0.0-0.0-6.0-2.0-17.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","114","328916","0.0-0.0-6.0-2.0-18.0","false","","90","n-back","-1","","false","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","115","329672","0.0-0.0-6.0-2.0-19.0","","","","feedback","","","","","","","","","","","","","","",""
"1274.4950000196695","<p>Your accuracy was <strong>80.00%</strong>.</p><p>You will need to be at least 80% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","html-keyboard-response","116","330948","0.0-0.0-6.0-3.0","","","","","","80.00","","","","","","","","","","","","",""
"2409.1900000348687","<img src=""./static/img/fractal1.jpg"" width=""250"" height=""250""","32","html-keyboard-response","117","333358","0.0-0.0-7.0-0.0-0.0","","","","","","","","","","","","","","","","","","",""
"41632.845000363886","<p>In this task, you will need to press <strong>K</strong> every time you see the same letter you saw 3 trials ago (we call this a ""3-back match"").</p> <p>If the image on screen was not the one you saw 3 trials ago (not a ""3-back match""), do not press anything.</p><p>If you see a T, press <strong>H</strong> as fast as you can.</p><p>T's count in the sequence of letters for a 3-back match, but a T will never be a 3-back match.</p><p>We will now practice this task until you are at least 80% accurate on it.</p> <p>Press space to begin.</p>","32","html-keyboard-response","118","374992","0.0-0.0-7.0-1.0-0.0","","","","","","","","","","","","","","","","","","",""
"1124.8000003397465","<p>T</p>","72","categorize-html","119","376119","0.0-0.0-7.0-2.0-0.0","true","true","72","combine","-1","","0","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","120","376873","0.0-0.0-7.0-2.0-1.0","","","","feedback","","","","","","","","","","","","","","",""
"445.6100002862513","<p>T</p>","72","categorize-html","121","377326","0.0-0.0-7.0-2.0-2.0","true","true","72","combine","-1","","0","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","122","378081","0.0-0.0-7.0-2.0-3.0","","","","feedback","","","","","","","","","","","","","","",""
"442.2200000844896","<p>T</p>","72","categorize-html","123","378538","0.0-0.0-7.0-2.0-4.0","true","true","72","combine","-1","","0","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","124","379293","0.0-0.0-7.0-2.0-5.0","","","","feedback","","","","","","","","","","","","","","",""
"1041.9499999843538","<p>E</p>","75","categorize-html","125","380337","0.0-0.0-7.0-2.0-6.0","false","false","90","combine","-1","","0","3","true","","","","","","","","","",""
"null","Not a match! Press nothing.","null","html-keyboard-response","126","381092","0.0-0.0-7.0-2.0-7.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","categorize-html","127","382598","0.0-0.0-7.0-2.0-8.0","false","false","90","combine","-1","","0","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","128","383352","0.0-0.0-7.0-2.0-9.0","","","","feedback","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","categorize-html","129","384866","0.0-0.0-7.0-2.0-10.0","false","false","90","combine","-1","","0","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","130","385624","0.0-0.0-7.0-2.0-11.0","","","","feedback","","","","","","","","","","","","","","",""
"687.049999833107","<p>E</p>","75","categorize-html","131","386315","0.0-0.0-7.0-2.0-12.0","true","false","75","combine","-1","","1","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","132","387072","0.0-0.0-7.0-2.0-13.0","","","","feedback","","","","","","","","","","","","","","",""
"1086.8999999947846","<p>X</p>","75","categorize-html","133","388163","0.0-0.0-7.0-2.0-14.0","true","false","75","combine","-1","","1","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","134","388918","0.0-0.0-7.0-2.0-15.0","","","","feedback","","","","","","","","","","","","","","",""
"429.6649997122586","<p>T</p>","72","categorize-html","135","389350","0.0-0.0-7.0-2.0-16.0","true","true","72","combine","-1","","0","3","true","","","","","","","","","",""
"null","Correct!","null","html-keyboard-response","136","390104","0.0-0.0-7.0-2.0-17.0","","","","feedback","","","","","","","","","","","","","","",""
"639.740000013262","<p>X</p>","75","categorize-html","137","390746","0.0-0.0-7.0-2.0-18.0","false","false","90","combine","-1","","0","3","true","","","","","","","","","",""
"null","Not a match! Press nothing.","null","html-keyboard-response","138","391503","0.0-0.0-7.0-2.0-19.0","","","","feedback","","","","","","","","","","","","","","",""
"3076.054999604821","<p>Your accuracy was <strong>80.00%</strong>.</p><p>You will need to be at least 80% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","html-keyboard-response","139","394581","0.0-0.0-7.0-3.0-0.0","","","","","","80.00","","","","","","","","","","","","",""
"2755.9650000184774","Good job! You have reached 80% accuracy on this practice task. We will now move on.","32","html-keyboard-response","140","397338","0.0-0.0-8.0-0.0","","","","","","","","","","0.00","","","","","","","","",""
"17803.929999936372","<p>In this experiment, you will be asked to repeatedly complete the two tasks you just practiced.</p><p>The next few screens provide detailed instructions about the way we will determine your final payment.</p><p>The way we will determine your final payment is a bit unusual, so we are going to try and explain it well.</p><p>It is very important that you understand the explanation, since your bonus payment $$ will depend on your ability to make good decisions.</p><p> </p><p>[Press the space bar to continue.]</p>","32","html-keyboard-response","141","415143","0.0-0.0-12.0-0.0-0.0","","","","","","","","","","","","","","","","","","",""
"45350.664999801666","<p>In this task, you'll complete up to 12 short rounds of the two tasks.</p><p>If you are 80% correct or better during one round of a task, then you will earn points for that round. If you are less than 80% correct, you will not earn any points for that round.</p><p>Keep in mind that you have to maintain this level of performance or better for up to 12 rounds.</p><p>You can earn 1 to 5 points each round.</p><p>At the end of the experiment, the points you earned will be added up and turned into a bonus payment. $$ The more points you earn, the more money you will be paid. $$</p><p> </p><p>[Press the space bar to continue.]</p>","32","html-keyboard-response","142","460494","0.0-0.0-12.0-1.0-0.0","","","","","","","","","","","","","","","","","","",""
"34202.99999974668","<p>Before each round begins, you will be asked how many points it's worth to be at least 80% accurate at that task.</p><p>We want you to tell us truthfully how many points you'd like to earn, and so we are using a sort of <strong>payment process</strong> in which <strong>telling the truth is the best strategy.</strong></p><p>In other words, you will be <strong>selling</strong> your task performance to us. </p><p>This means that <strong>you have some control over what you will be paid </strong> at the end of the experiment.</p><p>Whenever given a choice, <strong> the best thing you can do is to always ask for what you consider to be a fair wage for at least 80% accuracy on the task.</strong></p><p> </p><p>[Press the space bar to continue.]</p>","32","html-keyboard-response","143","494699","0.0-0.0-12.0-2.0-0.0","","","","","","","","","","","","","","","","","","",""
"23893.204999621958","<p>What do we mean by ""fair wage for you""?</p><p>When you get hired to complete some work, you may ask for more or less payment based on how much you would enjoy doing that work.</p><p>For example, if you've had a long day at work, you may dislike mowing the lawn more and ask for more in return than you would on the weekend.</p><p>A fair wage for you is the amount of points you think it would be fair for you to receive in exchange for your completion of the task.</p><p>While you won't get paid exactly what you ask for, the best strategy is to ask for what you truly believe is a fair wage for you.</p><p>We're not going to get into the exact reasons why until the end of the experiment.</p><p> </p><p>[Press the space bar to continue.]</p>","32","html-keyboard-response","144","518594","0.0-0.0-12.0-3.0-0.0","","","","","","","","","","","","","","","","","","",""
"41019.34999972582","<p>In short, once you tell us what your fair wage is, the computer will present you with a <strong> random offer </strong>.</p><p>If you ask for fewer points than the computer offers you, then you will complete the task and be given the points the computer offered.</p><p>For example, say you ask for 3 points and the computer offers 4, then if you complete the task with at least 80% accuracy, you will be given 4 points.</p><p>If you ask for more points than the computer offers you, then you will do a different task on that round. The alternate task is worth <strong> 1 point. </strong></p><p>For example, if you ask for 5 points and the computer offers 4 points, then you will do something else and be given 1 point.</p><p> </p><p>[Press the space bar to continue.]</p>","32","html-keyboard-response","145","559614","0.0-0.0-12.0-4.0-0.0","","","","","","","","","","","","","","","","","","",""
"15988.104999996722","<p><strong> Your best strategy is to always ask for what you believe is a fair wage for hitting at least 80% accuracy on 1 round of a task.</strong></p><p>We will now quiz you on the instructions you've just read. If you fail this quiz, you cannot participate in this experiment.</p><p>Press R if you'd like to read these instructions again.</p><p>Press the space bar if you'd like to move on to the quiz.</p>","32","html-keyboard-response","146","575603","0.0-0.0-12.0-5.0-0.0","","","","","","","","","","","","","","","","","","",""
