"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","detect","correct_key","tasknum","practice_accuracy","practice","nback","n","number_practice_combines","response","BDMquizgrade","slider_start","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"","html-keyboard-response","96","210469","0.0-1.0-7.0-0.0-1.0-0.0","56135.30500000343","<p>This task is a combination of the two tasks you just practiced.</p><p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw 3 letters ago (we call this a ""3-back match"").</p> <p>If the letter on screen was not the one you saw 3 trials ago (not a ""3-back match""), do not press anything.</p><p>If you see a T, press <strong>K</strong> as fast as you can.</p><p>T's count in the sequence of letters for a 3-back match.</p><p>A T might be a 3-back match, but ignore that. Just press K when you see a T.</p><p>You will now be given six chances to practice this task until you are at least 80% accurate on it.</p><p>If you don't reach 80% accuracy in six attempts, you will not move on to the real experiment.</p><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","97","211979","0.0-1.0-7.0-0.0-2.0-0.0","null","<p>T</p>","null","combine","false","true","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","98","212732","0.0-1.0-7.0-0.0-2.0-1.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","99","214253","0.0-1.0-7.0-0.0-2.0-2.0","null","<p>R</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","100","215007","0.0-1.0-7.0-0.0-2.0-3.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","101","216521","0.0-1.0-7.0-0.0-2.0-4.0","null","<p>X</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","102","217288","0.0-1.0-7.0-0.0-2.0-5.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","103","218805","0.0-1.0-7.0-0.0-2.0-6.0","null","<p>R</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","104","219561","0.0-1.0-7.0-0.0-2.0-7.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","105","221081","0.0-1.0-7.0-0.0-2.0-8.0","null","<p>E</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","106","221837","0.0-1.0-7.0-0.0-2.0-9.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","107","222317","0.0-1.0-7.0-0.0-2.0-10.0","473.60000014305115","<p>T</p>","72","combine","false","true","75","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","108","223084","0.0-1.0-7.0-0.0-2.0-11.0","null","Press <strong>K</strong> when you see a T.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","109","224600","0.0-1.0-7.0-0.0-2.0-12.0","null","<p>X</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","110","225356","0.0-1.0-7.0-0.0-2.0-13.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","111","226864","0.0-1.0-7.0-0.0-2.0-14.0","null","<p>E</p>","null","combine","false","false","72","-1","","true","1","3","","","","","","","","","","",""
"","html-keyboard-response","112","227628","0.0-1.0-7.0-0.0-2.0-15.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","113","229146","0.0-1.0-7.0-0.0-2.0-16.0","null","<p>X</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","114","229905","0.0-1.0-7.0-0.0-2.0-17.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","115","230552","0.0-1.0-7.0-0.0-2.0-18.0","642.9649998899549","<p>X</p>","72","combine","true","false","72","-1","","true","1","3","","","","","","","","","","",""
"","html-keyboard-response","116","231307","0.0-1.0-7.0-0.0-2.0-19.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","117","232297","0.0-1.0-7.0-0.0-2.0-20.0","987.385000102222","<p>E</p>","72","combine","true","false","72","-1","","true","1","3","","","","","","","","","","",""
"","html-keyboard-response","118","233051","0.0-1.0-7.0-0.0-2.0-21.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","119","233885","0.0-1.0-7.0-0.0-2.0-22.0","831.3099998049438","<p>X</p>","72","combine","true","false","72","-1","","true","1","3","","","","","","","","","","",""
"","html-keyboard-response","120","234649","0.0-1.0-7.0-0.0-2.0-23.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","121","235272","0.0-1.0-7.0-0.0-2.0-24.0","619.9650000780821","<p>E</p>","72","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","122","236032","0.0-1.0-7.0-0.0-2.0-25.0","null","Not a match! Press nothing.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","123","236758","0.0-1.0-7.0-0.0-2.0-26.0","723.5400001518428","<p>X</p>","72","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","124","237520","0.0-1.0-7.0-0.0-2.0-27.0","null","Not a match! Press nothing.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","125","239030","0.0-1.0-7.0-0.0-2.0-28.0","null","<p>R</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","126","239796","0.0-1.0-7.0-0.0-2.0-29.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","html-keyboard-response","127","241471","0.0-1.0-7.0-1.0-0.0","1673.4949999954551","<p> You were 60.00% accurate.</p><p>You are not at 80% accuracy yet.</p><p>Let's try this task again.</p><p>[Press the space bar to continue.]</p>","32","","","","","","60.00","","","","","","","","","","","","","",""
"","html-keyboard-response","128","250507","0.0-1.0-7.0-2.0-0.0","9033.625000156462","<p>You will get 5 more tries to get to 80% accuracy on this task.</p><p>[Press space bar to try again.]</p>","32","","","","","","","","","","1","","","","","","","","","",""
"","html-keyboard-response","129","251720","0.0-1.0-7.0-3.0-0.0-0.0","1210.9349998645484","<img src=""./static/img/fractal1.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","130","253775","0.0-1.0-7.0-3.0-1.0-0.0","2052.635000087321","<p>This task is a combination of the two tasks you just practiced.</p><p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw 3 letters ago (we call this a ""3-back match"").</p> <p>If the letter on screen was not the one you saw 3 trials ago (not a ""3-back match""), do not press anything.</p><p>If you see a T, press <strong>K</strong> as fast as you can.</p><p>T's count in the sequence of letters for a 3-back match.</p><p>A T might be a 3-back match, but ignore that. Just press K when you see a T.</p><p>You will now be given six chances to practice this task until you are at least 80% accurate on it.</p><p>If you don't reach 80% accuracy in six attempts, you will not move on to the real experiment.</p><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","131","254377","0.0-1.0-7.0-3.0-2.0-0.0","599.055000115186","<p>T</p>","75","combine","false","true","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","132","255132","0.0-1.0-7.0-3.0-2.0-1.0","null","Press <strong>K</strong> when you see a T.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","133","255643","0.0-1.0-7.0-3.0-2.0-2.0","508.05000006221235","<p>T</p>","75","combine","false","true","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","134","256401","0.0-1.0-7.0-3.0-2.0-3.0","null","Press <strong>K</strong> when you see a T.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","135","257907","0.0-1.0-7.0-3.0-2.0-4.0","null","<p>E</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","136","258671","0.0-1.0-7.0-3.0-2.0-5.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","137","260188","0.0-1.0-7.0-3.0-2.0-6.0","null","<p>X</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","138","260953","0.0-1.0-7.0-3.0-2.0-7.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","139","262461","0.0-1.0-7.0-3.0-2.0-8.0","null","<p>E</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","140","263225","0.0-1.0-7.0-3.0-2.0-9.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","141","264740","0.0-1.0-7.0-3.0-2.0-10.0","null","<p>R</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","142","265493","0.0-1.0-7.0-3.0-2.0-11.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","143","266232","0.0-1.0-7.0-3.0-2.0-12.0","735.175000037998","<p>X</p>","72","combine","true","false","72","-1","","true","1","3","","","","","","","","","","",""
"","html-keyboard-response","144","266986","0.0-1.0-7.0-3.0-2.0-13.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","145","267536","0.0-1.0-7.0-3.0-2.0-14.0","546.3499999605119","<p>E</p>","72","combine","true","false","72","-1","","true","1","3","","","","","","","","","","",""
"","html-keyboard-response","146","268293","0.0-1.0-7.0-3.0-2.0-15.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","147","269111","0.0-1.0-7.0-3.0-2.0-16.0","814.6549998782575","<p>R</p>","72","combine","true","false","72","-1","","true","1","3","","","","","","","","","","",""
"","html-keyboard-response","148","269864","0.0-1.0-7.0-3.0-2.0-17.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","149","271380","0.0-1.0-7.0-3.0-2.0-18.0","null","<p>R</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","150","272148","0.0-1.0-7.0-3.0-2.0-19.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","151","272887","0.0-1.0-7.0-3.0-2.0-20.0","736.100000096485","<p>X</p>","72","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
"","html-keyboard-response","152","273666","0.0-1.0-7.0-3.0-2.0-21.0","null","Not a match! Press nothing.","null","feedback","","","","","","true","","","","","","","","","","","","",""
"","categorize-html","153","274379","0.0-1.0-7.0-3.0-2.0-22.0","710.2799999993294","<p>E</p>","72","combine","false","false","90","-1","","true","0","3","","","","","","","","","","",""
