"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","switch","rule","stimnum","prob_switch","correct_key","tasknum","practice","practice_accuracy","number_practice_combines","response","BDMquizgrade","task_displayed","slider_start","responses","question_order","TOT","overall","performance_by_block","points_list","value_list","offer_list","exp_version","n_switch_rule_sides"
"","categorize-html","51","299552","0.0-1.0-1.0-3.0-2.0-10.0","null","<p style=""color: blue"">6</p>","null","n-switch","false","true","1","4","0.9","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","52","300305","0.0-1.0-1.0-3.0-2.0-11.0","207.69000001018867","Please respond in time!","68","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","53","301812","0.0-1.0-1.0-3.0-2.0-12.0","null","<p style=""color: red"">1</p>","null","n-switch","false","true","2","0","0.9","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","54","302566","0.0-1.0-1.0-3.0-2.0-13.0","44.40999997314066","Please respond in time!","72","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","55","303558","0.0-1.0-1.0-3.0-2.0-14.0","987.8950000274926","<p style=""color: red"">2</p>","75","n-switch","false","false","2","1","0.9","72","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","56","304311","0.0-1.0-1.0-3.0-2.0-15.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","57","305429","0.0-1.0-1.0-3.0-2.0-16.0","1114.270000020042","<p style=""color: red"">6</p>","72","n-switch","true","false","2","4","0.9","72","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","58","306182","0.0-1.0-1.0-3.0-2.0-17.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","59","307686","0.0-1.0-1.0-3.0-2.0-18.0","null","<p style=""color: blue"">7</p>","null","n-switch","false","true","1","5","0.9","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","60","308439","0.0-1.0-1.0-3.0-2.0-19.0","171.90999997546896","Please respond in time!","68","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","61","313313","0.0-1.0-1.0-3.0-3.0","4871.629999950528","<p>Your accuracy was <strong>20%</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","20","","","","","","","","","","","","","","",""
"","html-keyboard-response","62","315027","0.0-1.0-1.0-4.0-0.0","1710.8250000164844","<p> You were 20% accurate.</p><p>You are not at 80% accuracy yet.</p><p>Let's try this task again.</p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","20","","","","","","","","","","","","","","",""
"","html-keyboard-response","63","323700","0.0-1.0-1.0-5.0-0.0","8671.384999994189","<p>You will get 3 more tries to get to 80% accuracy on this task.</p><p>Don't worry, most subjects need a few rounds of practice on this task.</p><p>If the feedback is more distracting than helpful, try your best to just ignore it.</p><p>[Press space bar to try again.]</p>","32","","","","","","","","","","","1","","","","","","","","","","","","","",""
"","html-keyboard-response","64","329088","0.0-1.0-1.0-6.0-0.0-0.0","5384.84499999322","<img src=""./static/img/fractal4.png"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","65","331508","0.0-1.0-1.0-6.0-1.0-0.0","2417.9800000274554","<p>Now, let's practice responding to both rules.</p><p>You will be responding to both rules, one at a time, depending on the color of the number on screen.</p><p>You will use four different keys, <strong>S, F, H, and K</strong> to respond.</p><p style=""color: blue"">If the number is blue, you will need to respond to its magnitude (less than or greater than 5?).</p><p style=""color: red"">If the number is red, you will need to respond to its parity (even or odd?).</p><p>Press the space bar to practice this task.</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","66","332503","0.0-1.0-1.0-6.0-2.0-0.0","991.5799999726005","<p style=""color: blue"">4</p>","68","n-switch","false","true","1","3","0.9","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","67","333256","0.0-1.0-1.0-6.0-2.0-1.0","null","Please press S, F, H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","68","334175","0.0-1.0-1.0-6.0-2.0-2.0","915.4899999848567","<p style=""color: blue"">7</p>","68","n-switch","false","false","1","5","0.9","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","69","334928","0.0-1.0-1.0-6.0-2.0-3.0","null","Please press S, F, H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","70","335383","0.0-1.0-1.0-6.0-2.0-4.0","451.43000001553446","<p style=""color: blue"">4</p>","65","n-switch","false","false","1","3","0.9","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","71","336136","0.0-1.0-1.0-6.0-2.0-5.0","null","Please press S, F, H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","72","336706","0.0-1.0-1.0-6.0-2.0-6.0","566.1700000055134","<p style=""color: blue"">7</p>","68","n-switch","false","false","1","5","0.9","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","73","337458","0.0-1.0-1.0-6.0-2.0-7.0","null","Please press S, F, H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","74","338006","0.0-1.0-1.0-6.0-2.0-8.0","544.3300000042655","<p style=""color: blue"">7</p>","68","n-switch","false","false","1","5","0.9","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","75","338759","0.0-1.0-1.0-6.0-2.0-9.0","null","Please press S, F, H or K.","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","76","340263","0.0-1.0-1.0-6.0-2.0-10.0","null","<p style=""color: red"">3</p>","null","n-switch","false","true","2","2","0.9","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","77","341017","0.0-1.0-1.0-6.0-2.0-11.0","null","Please respond in time!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","78","342056","0.0-1.0-1.0-6.0-2.0-12.0","1035.730000003241","<p style=""color: red"">6</p>","72","n-switch","true","false","2","4","0.9","72","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","79","342811","0.0-1.0-1.0-6.0-2.0-13.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","80","343496","0.0-1.0-1.0-6.0-2.0-14.0","681.9799999939278","<p style=""color: red"">8</p>","72","n-switch","true","false","2","6","0.9","72","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","81","344249","0.0-1.0-1.0-6.0-2.0-15.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","82","345205","0.0-1.0-1.0-6.0-2.0-16.0","952.5099999736995","<p style=""color: blue"">8</p>","70","n-switch","true","true","1","6","0.9","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","83","345962","0.0-1.0-1.0-6.0-2.0-17.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","84","346580","0.0-1.0-1.0-6.0-2.0-18.0","611.0900000203401","<p style=""color: blue"">7</p>","70","n-switch","true","false","1","5","0.9","70","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","85","347333","0.0-1.0-1.0-6.0-2.0-19.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","86","348872","0.0-1.0-1.0-6.0-3.0","1537.6350000151433","<p>Your accuracy was <strong>40%</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","40","","","","","","","","","","","","","","",""
"","html-keyboard-response","87","354115","0.0-1.0-1.0-7.0-0.0","5240.110000013374","<p> You were 40% accurate.</p><p>You are not at 80% accuracy yet.</p><p>Let's try this task again.</p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","40","","","","","","","","","","","","","","",""
"","html-keyboard-response","88","355517","0.0-1.0-1.0-8.0-0.0","1400.8599999942817","<p>You will get 2 more tries to get to 80% accuracy on this task.</p><p>Don't worry, most subjects need a few rounds of practice on this task.</p><p>If the feedback is more distracting than helpful, try your best to just ignore it.</p><p>[Press space bar to try again.]</p>","32","","","","","","","","","","","2","","","","","","","","","","","","","",""
"","html-keyboard-response","89","356275","0.0-1.0-1.0-9.0-0.0-0.0","755.9150000452064","<img src=""./static/img/fractal4.png"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","90","357039","0.0-1.0-1.0-9.0-1.0-0.0","762.2049999772571","<p>Now, let's practice responding to both rules.</p><p>You will be responding to both rules, one at a time, depending on the color of the number on screen.</p><p>You will use four different keys, <strong>S, F, H, and K</strong> to respond.</p><p style=""color: blue"">If the number is blue, you will need to respond to its magnitude (less than or greater than 5?).</p><p style=""color: red"">If the number is red, you will need to respond to its parity (even or odd?).</p><p>Press the space bar to practice this task.</p>","32","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","91","358180","0.0-1.0-1.0-9.0-2.0-0.0","1136.7700000409968","<p style=""color: blue"">1</p>","83","n-switch","true","false","1","0","0.9","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","92","358933","0.0-1.0-1.0-9.0-2.0-1.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","93","359845","0.0-1.0-1.0-9.0-2.0-2.0","908.579999988433","<p style=""color: red"">4</p>","72","n-switch","true","true","2","3","0.9","72","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","94","360599","0.0-1.0-1.0-9.0-2.0-3.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","95","361394","0.0-1.0-1.0-9.0-2.0-4.0","791.7599999927916","<p style=""color: red"">7</p>","75","n-switch","true","false","2","5","0.9","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","96","362147","0.0-1.0-1.0-9.0-2.0-5.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","97","363070","0.0-1.0-1.0-9.0-2.0-6.0","919.324999966193","<p style=""color: blue"">2</p>","83","n-switch","true","true","1","1","0.9","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","98","363823","0.0-1.0-1.0-9.0-2.0-7.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","99","364636","0.0-1.0-1.0-9.0-2.0-8.0","810.1049999822862","<p style=""color: red"">3</p>","72","n-switch","false","true","2","2","0.9","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","100","365390","0.0-1.0-1.0-9.0-2.0-9.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","101","366297","0.0-1.0-1.0-9.0-2.0-10.0","903.4850000170991","<p style=""color: red"">7</p>","75","n-switch","true","false","2","5","0.9","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","102","367050","0.0-1.0-1.0-9.0-2.0-11.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","103","367587","0.0-1.0-1.0-9.0-2.0-12.0","533.2599999965169","<p style=""color: red"">9</p>","75","n-switch","true","false","2","7","0.9","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","104","368339","0.0-1.0-1.0-9.0-2.0-13.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","105","368786","0.0-1.0-1.0-9.0-2.0-14.0","442.35999998636544","<p style=""color: red"">7</p>","75","n-switch","true","false","2","5","0.9","75","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","106","369538","0.0-1.0-1.0-9.0-2.0-15.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","107","370458","0.0-1.0-1.0-9.0-2.0-16.0","916.2650000071153","<p style=""color: blue"">4</p>","70","n-switch","false","true","1","3","0.9","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","108","371211","0.0-1.0-1.0-9.0-2.0-17.0","null","Incorrect!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","categorize-html","109","372104","0.0-1.0-1.0-9.0-2.0-18.0","890.0900000007823","<p style=""color: blue"">4</p>","83","n-switch","true","false","1","3","0.9","83","-1","true","","","","","","","","","","","","","","","",""
"","html-keyboard-response","110","372856","0.0-1.0-1.0-9.0-2.0-19.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","111","374093","0.0-1.0-1.0-9.0-3.0","1234.6249999827705","<p>Your accuracy was <strong>80%</strong>.</p><p>You will need to be at least 80% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","","","","true","80","","","","","","","","","","","","","","",""
"","html-keyboard-response","112","377294","0.0-1.0-1.0-13.0-0.0","3198.904999997467","<p>Good job! You have reached 80% accuracy on this practice task. We will now explain how the payment process for this experiment will work.</p><p>[Press the space bar to continue.]</p>","32","debrief","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","113","413162","0.0-1.0-2.0-0.0-0.0","35865.59500003932","<p>Please read these instructions carefully, as you will be tested on your understanding of them.</p><p>Before each round begins, you will be asked how many points is a fair wage to be at least 80% accurate at one of the tasks you just practiced.</p><p>We want you to tell us truthfully how many points is a fair wage, and so we are using a payment process where <strong>telling the truth is the best strategy.</strong></p><p>This means that <strong>you have some control over what you will be paid</strong> at the end of the experiment.</p><p>Whenever given a choice, <strong> the best thing you can do is to always ask for what you consider to be a fair wage for at least 80% accuracy on the task.</strong></p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","114","431330","0.0-1.0-2.0-1.0-0.0","18165.39499995997","<p>What do we mean by ""fair wage""?</p><p>When you get hired to complete some work, you may ask for more or less payment based on how much you would enjoy doing that work.</p><p>For example, you might dislike mowing the lawn more than watering the garden, and may ask for more in return for mowing the lawn.</p><p>A fair wage for you is the amount of points you think it would be fair for you to receive in exchange for your completion of the task.</p><p>While you won't get paid exactly what you ask for, the best strategy is to ask for what you truly believe is a fair wage for you.</p><p>We're not going to get into the exact reasons why until the end of the experiment.</p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","115","496870","0.0-1.0-2.0-2.0-0.0","65537.7950000111","<p>In short, once you report your fair wage, the computer will present you with a <strong> random offer.</strong></p><p>If you ask for fewer points than the computer offers you, then you will complete the task and be given the points the computer offered.</p><p>Say you ask for 3 points and the computer offers 4, then if you pass the task with at least 80% accuracy, you will be given 4 points.</p><p>If you ask for more points than the computer offers you, then you will do a different task on that round. The alternate task is worth <strong>1 point.</strong></p><p>For example, if you ask for 5 points and the computer offers 4 points, then you will do something else and be given 1 point.</p><p>There is no way to game the payment system. You will either get the computer's random point offer, or 1 point for an alternative task.</p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","116","521900","0.0-1.0-2.0-3.0-0.0-0.0","25024.425000010524","<img src=""./static/img/fractal5.jpg"" width=""250"" height=""250""","","instructs","","","","","","","","","","","48","","","","","","","","","","","","",""
"","html-keyboard-response","117","534541","0.0-1.0-2.0-3.0-1.0-0.0","12638.7349999859","<p>You asked for 2.92 points.</p><p>The computer offered 4.88 points.</p><p>Because the computer's offer is larger, you would move onto the pictured task and, if you achieved 80% accuracy on this task, you would be given 4.88 points at the end.</p><p>Press the space bar to continue.</p>","32","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","118","539678","0.0-1.0-2.0-3.0-2.0-0.0","5132.830000016838","<img src=""./static/img/fractal5.jpg"" width=""250"" height=""250""","","instructs","","","","","","","","","","","100","","","","","","","","","","","","",""
