"rt","stimulus","key_press","task","trial_type","trial_index","time_elapsed","internal_node_id","correct","detect","correct_key","tasknum","training_performance","nback","n","practice","practice_accuracy","response","slider_start","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"null"," ","null","feedback","html-keyboard-response","16","131600","0.0-0.0-1.0-2.0-13.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","detection","categorize-html","17","133108","0.0-0.0-1.0-2.0-14.0","false","false","90","-1","","","","","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","18","133860","0.0-0.0-1.0-2.0-15.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","detection","categorize-html","19","135371","0.0-0.0-1.0-2.0-16.0","false","false","90","-1","","","","","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","20","136135","0.0-0.0-1.0-2.0-17.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","detection","categorize-html","21","137650","0.0-0.0-1.0-2.0-18.0","false","false","90","-1","","","","","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","22","138412","0.0-0.0-1.0-2.0-19.0","","","","","","","","","","","","","","","","","",""
"7713.8650002889335","<p>Your accuracy was <strong>93.75%</strong>.</p><p>You will need to be at least 85% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","html-keyboard-response","23","146128","0.0-0.0-1.0-3.0","","","","","93.75","","","","","","","","","","","","",""
"2042.825000360608","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","html-keyboard-response","24","148172","0.0-0.0-2.0-0.0-0.0","","","","","","","","","","","","","","","","","",""
"20650.824999902397","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>1</strong> trial ago.</p> <p>If the image on screen was not the one you saw <strong>1</strong> trial ago, do not press anything.</p><p>Pay attention! If you are not at least 85% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/1-back.png><p>Press space to begin.</p>","32","","html-keyboard-response","25","168819","0.0-0.0-2.0-1.0-0.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","26","170326","0.0-0.0-2.0-2.0-0.0","false","","90","-1","","false","1","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","27","171080","0.0-0.0-2.0-2.0-1.0","","","","","","","","","","","","","","","","","",""
"593.9850001595914","<p>R</p>","72","n-back","categorize-html","28","171677","0.0-0.0-2.0-2.0-2.0","true","","72","-1","","true","1","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","29","172432","0.0-0.0-2.0-2.0-3.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","n-back","categorize-html","30","173941","0.0-0.0-2.0-2.0-4.0","false","","90","-1","","false","1","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","31","174707","0.0-0.0-2.0-2.0-5.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","32","176214","0.0-0.0-2.0-2.0-6.0","false","","90","-1","","false","1","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","33","176971","0.0-0.0-2.0-2.0-7.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","n-back","categorize-html","34","178492","0.0-0.0-2.0-2.0-8.0","false","","90","-1","","false","1","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","35","179245","0.0-0.0-2.0-2.0-9.0","","","","","","","","","","","","","","","","","",""
"491.5649998001754","<p>X</p>","72","n-back","categorize-html","36","179740","0.0-0.0-2.0-2.0-10.0","true","","72","-1","","true","1","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","37","180502","0.0-0.0-2.0-2.0-11.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","38","182005","0.0-0.0-2.0-2.0-12.0","false","","90","-1","","false","1","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","39","182770","0.0-0.0-2.0-2.0-13.0","","","","","","","","","","","","","","","","","",""
"459.7499999217689","<p>R</p>","72","n-back","categorize-html","40","183232","0.0-0.0-2.0-2.0-14.0","true","","72","-1","","true","1","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","41","183994","0.0-0.0-2.0-2.0-15.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","n-back","categorize-html","42","185498","0.0-0.0-2.0-2.0-16.0","false","","90","-1","","false","1","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","43","186261","0.0-0.0-2.0-2.0-17.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","44","187767","0.0-0.0-2.0-2.0-18.0","false","","90","-1","","false","1","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","45","188534","0.0-0.0-2.0-2.0-19.0","","","","","","","","","","","","","","","","","",""
"3279.134999960661","<p>Your accuracy was <strong>100.00%</strong>.</p><p>You will need to be at least 85% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","html-keyboard-response","46","191815","0.0-0.0-2.0-3.0","","","","","100.00","","","","","","","","","","","","",""
"1312.9150001332164","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","html-keyboard-response","47","193130","0.0-0.0-3.0-0.0-0.0","","","","","","","","","","","","","","","","","",""
"12794.499999843538","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>2</strong> trials ago.</p> <p>If the image on screen was not the one you saw <strong>2</strong> trials ago, do not press anything.</p><p>Pay attention! If you are not at least 85% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/2-back.png><p>Press space to begin.</p>","32","","html-keyboard-response","48","205926","0.0-0.0-3.0-1.0-0.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","n-back","categorize-html","49","207445","0.0-0.0-3.0-2.0-0.0","false","","90","-1","","false","2","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","50","208206","0.0-0.0-3.0-2.0-1.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","n-back","categorize-html","51","209724","0.0-0.0-3.0-2.0-2.0","false","","90","-1","","false","2","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","52","210483","0.0-0.0-3.0-2.0-3.0","","","","","","","","","","","","","","","","","",""
"366.090000141412","<p>X</p>","72","n-back","categorize-html","53","210853","0.0-0.0-3.0-2.0-4.0","true","","72","-1","","true","2","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","54","211619","0.0-0.0-3.0-2.0-5.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","n-back","categorize-html","55","213122","0.0-0.0-3.0-2.0-6.0","false","","72","-1","","true","2","true","","","","","","","","","",""
"null","Press <strong>H</strong> when you see a match.","null","feedback","html-keyboard-response","56","213875","0.0-0.0-3.0-2.0-7.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","57","215396","0.0-0.0-3.0-2.0-8.0","false","","90","-1","","false","2","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","58","216159","0.0-0.0-3.0-2.0-9.0","","","","","","","","","","","","","","","","","",""
"505.91500010341406","<p>R</p>","72","n-back","categorize-html","59","216668","0.0-0.0-3.0-2.0-10.0","false","","90","-1","","false","2","true","","","","","","","","","",""
"null","Not a match! Press nothing.","null","feedback","html-keyboard-response","60","217424","0.0-0.0-3.0-2.0-11.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","61","218942","0.0-0.0-3.0-2.0-12.0","false","","72","-1","","true","2","true","","","","","","","","","",""
"null","Press <strong>H</strong> when you see a match.","null","feedback","html-keyboard-response","62","219707","0.0-0.0-3.0-2.0-13.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","63","221227","0.0-0.0-3.0-2.0-14.0","false","","72","-1","","true","2","true","","","","","","","","","",""
"null","Press <strong>H</strong> when you see a match.","null","feedback","html-keyboard-response","64","221991","0.0-0.0-3.0-2.0-15.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","65","223506","0.0-0.0-3.0-2.0-16.0","false","","72","-1","","true","2","true","","","","","","","","","",""
"null","Press <strong>H</strong> when you see a match.","null","feedback","html-keyboard-response","66","224272","0.0-0.0-3.0-2.0-17.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","n-back","categorize-html","67","225792","0.0-0.0-3.0-2.0-18.0","false","","90","-1","","false","2","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","68","226550","0.0-0.0-3.0-2.0-19.0","","","","","","","","","","","","","","","","","",""
"29057.370000053197","<p>Your accuracy was <strong>50.00%</strong>.</p><p>You will need to be at least 85% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","html-keyboard-response","69","255612","0.0-0.0-3.0-3.0","","","","","50.00","","","","","","","","","","","","",""
"1681.940000038594","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","html-keyboard-response","70","257295","0.0-0.0-4.0-0.0-0.0","","","","","","","","","","","","","","","","","",""
"13939.14999999106","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>3</strong> trials ago.</p> <p>If the image on screen was not the one you saw <strong>3</strong> trials ago, do not press anything.</p><p>Pay attention! If you are not at least 85% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/3-back.png><p>Press space to begin.</p>","32","","html-keyboard-response","71","271235","0.0-0.0-4.0-1.0-0.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","72","272747","0.0-0.0-4.0-2.0-0.0","false","","90","-1","","false","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","73","273505","0.0-0.0-4.0-2.0-1.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","74","275027","0.0-0.0-4.0-2.0-2.0","false","","90","-1","","false","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","75","275790","0.0-0.0-4.0-2.0-3.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","n-back","categorize-html","76","277298","0.0-0.0-4.0-2.0-4.0","false","","90","-1","","false","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","77","278055","0.0-0.0-4.0-2.0-5.0","","","","","","","","","","","","","","","","","",""
"372.69499991089106","<p>R</p>","72","n-back","categorize-html","78","278431","0.0-0.0-4.0-2.0-6.0","true","","72","-1","","true","3","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","79","279186","0.0-0.0-4.0-2.0-7.0","","","","","","","","","","","","","","","","","",""
"640.8000001683831","<p>R</p>","72","n-back","categorize-html","80","279829","0.0-0.0-4.0-2.0-8.0","true","","72","-1","","true","3","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","81","280590","0.0-0.0-4.0-2.0-9.0","","","","","","","","","","","","","","","","","",""
"596.0149997845292","<p>E</p>","72","n-back","categorize-html","82","281189","0.0-0.0-4.0-2.0-10.0","true","","72","-1","","true","3","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","83","281947","0.0-0.0-4.0-2.0-11.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","n-back","categorize-html","84","283460","0.0-0.0-4.0-2.0-12.0","false","","90","-1","","false","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","85","284214","0.0-0.0-4.0-2.0-13.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","n-back","categorize-html","86","285735","0.0-0.0-4.0-2.0-14.0","false","","90","-1","","false","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","87","286499","0.0-0.0-4.0-2.0-15.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","88","288021","0.0-0.0-4.0-2.0-16.0","false","","90","-1","","false","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","89","288785","0.0-0.0-4.0-2.0-17.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","n-back","categorize-html","90","290293","0.0-0.0-4.0-2.0-18.0","false","","90","-1","","false","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","91","291044","0.0-0.0-4.0-2.0-19.0","","","","","","","","","","","","","","","","","",""
"2370.1049997471273","<p>Your accuracy was <strong>100.00%</strong>.</p><p>You will need to be at least 85% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","html-keyboard-response","92","293416","0.0-0.0-4.0-3.0","","","","","100.00","","","","","","","","","","","","",""
"2902.4350000545382","Good job! You have reached 85% accuracy on this practice task. We will now move on.","32","instructions","html-keyboard-response","93","296320","0.0-0.0-5.0-0.0","","","","","","","","","100.00","","","","","","","","",""
"2152.1250000223517","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","32","","html-keyboard-response","94","298474","0.0-0.0-7.0-0.0-0.0","","","","","","","","","","","","","","","","","",""
"94273.4300000593","<p>This task is a combination of the two tasks you just practiced.</p><p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw 3 trials ago (we call this a ""3-back match"").</p> <p>If the image on screen was not the one you saw 3 trials ago (not a ""3-back match""), do not press anything.</p><p>If you see a T, press <strong>K</strong> as fast as you can.</p><p>T's count in the sequence of letters for a 3-back match.</p><p>You should only ever press K when you see a T.</p><p>You will now be given three attempts to practice this task until you are at least 85% accurate on it.</p><p>If you don't reach 85% accuracy in three attempts, you will not move on to the real experiment.</p><p>Press space to begin.</p>","32","","html-keyboard-response","95","392742","0.0-0.0-7.0-1.0-0.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","combine","categorize-html","96","394252","0.0-0.0-7.0-2.0-0.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","97","395009","0.0-0.0-7.0-2.0-1.0","","","","","","","","","","","","","","","","","",""
"531.8400003015995","<p>T</p>","75","combine","categorize-html","98","395544","0.0-0.0-7.0-2.0-2.0","true","true","75","-1","","0","3","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","99","396310","0.0-0.0-7.0-2.0-3.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","combine","categorize-html","100","397828","0.0-0.0-7.0-2.0-4.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","101","398591","0.0-0.0-7.0-2.0-5.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","combine","categorize-html","102","400113","0.0-0.0-7.0-2.0-6.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","103","400877","0.0-0.0-7.0-2.0-7.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","combine","categorize-html","104","402392","0.0-0.0-7.0-2.0-8.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","105","403153","0.0-0.0-7.0-2.0-9.0","","","","","","","","","","","","","","","","","",""
"851.3600002042949","<p>X</p>","72","combine","categorize-html","106","404007","0.0-0.0-7.0-2.0-10.0","true","false","72","-1","","1","3","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","107","404774","0.0-0.0-7.0-2.0-11.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","combine","categorize-html","108","406280","0.0-0.0-7.0-2.0-12.0","false","false","72","-1","","1","3","true","","","","","","","","","",""
"null","Press <strong>H</strong> when you see a match.","null","feedback","html-keyboard-response","109","407032","0.0-0.0-7.0-2.0-13.0","","","","","","","","","","","","","","","","","",""
"1231.3249995931983","<p>X</p>","75","combine","categorize-html","110","408268","0.0-0.0-7.0-2.0-14.0","false","false","72","-1","","1","3","true","","","","","","","","","",""
"109.41000003367662","Press <strong>H</strong> when you see a match.","72","feedback","html-keyboard-response","111","409022","0.0-0.0-7.0-2.0-15.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","combine","categorize-html","112","410527","0.0-0.0-7.0-2.0-16.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","113","411282","0.0-0.0-7.0-2.0-17.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","combine","categorize-html","114","412800","0.0-0.0-7.0-2.0-18.0","false","false","72","-1","","1","3","true","","","","","","","","","",""
"null","Press <strong>H</strong> when you see a match.","null","feedback","html-keyboard-response","115","413567","0.0-0.0-7.0-2.0-19.0","","","","","","","","","","","","","","","","","",""
"2594.2999999970198","<p>Your accuracy was <strong>70.00%</strong>.</p><p>You will need to be at least 85% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to practice this again.</p>","32","","html-keyboard-response","116","416163","0.0-0.0-7.0-3.0-0.0","","","","","70.00","","","","","","","","","","","","",""
"3702.219999860972","Let's try this practice task again. You have to be 85% accurate to progress to the real experiment.","32","instructions","html-keyboard-response","117","419867","0.0-0.0-8.0-0.0","","","","","","","","","0.00","","","","","","","","",""
"1347.6550001651049","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","32","","html-keyboard-response","118","421217","0.0-0.0-9.0-0.0-0.0","","","","","","","","","","","","","","","","","",""
"2622.985000256449","<p>This task is a combination of the two tasks you just practiced.</p><p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw 3 trials ago (we call this a ""3-back match"").</p> <p>If the image on screen was not the one you saw 3 trials ago (not a ""3-back match""), do not press anything.</p><p>If you see a T, press <strong>K</strong> as fast as you can.</p><p>T's count in the sequence of letters for a 3-back match.</p><p>You should only ever press K when you see a T.</p><p>You will now be given three attempts to practice this task until you are at least 85% accurate on it.</p><p>If you don't reach 85% accuracy in three attempts, you will not move on to the real experiment.</p><p>Press space to begin.</p>","32","","html-keyboard-response","119","423842","0.0-0.0-9.0-1.0-0.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","combine","categorize-html","120","425356","0.0-0.0-9.0-2.0-0.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","121","426110","0.0-0.0-9.0-2.0-1.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","combine","categorize-html","122","427632","0.0-0.0-9.0-2.0-2.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","123","428385","0.0-0.0-9.0-2.0-3.0","","","","","","","","","","","","","","","","","",""
"744.6699999272823","<p>T</p>","75","combine","categorize-html","124","429132","0.0-0.0-9.0-2.0-4.0","true","true","75","-1","","0","3","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","125","429885","0.0-0.0-9.0-2.0-5.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","combine","categorize-html","126","431402","0.0-0.0-9.0-2.0-6.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","127","432154","0.0-0.0-9.0-2.0-7.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","combine","categorize-html","128","433660","0.0-0.0-9.0-2.0-8.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","129","434422","0.0-0.0-9.0-2.0-9.0","","","","","","","","","","","","","","","","","",""
"971.2499999441206","<p>T</p>","72","combine","categorize-html","130","435396","0.0-0.0-9.0-2.0-10.0","true","true","72","-1","","0","3","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","131","436148","0.0-0.0-9.0-2.0-11.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","combine","categorize-html","132","437656","0.0-0.0-9.0-2.0-12.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","133","438412","0.0-0.0-9.0-2.0-13.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","combine","categorize-html","134","439924","0.0-0.0-9.0-2.0-14.0","false","false","72","-1","","1","3","true","","","","","","","","","",""
"null","Press <strong>H</strong> when you see a match.","null","feedback","html-keyboard-response","135","440682","0.0-0.0-9.0-2.0-15.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","combine","categorize-html","136","442196","0.0-0.0-9.0-2.0-16.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","137","442949","0.0-0.0-9.0-2.0-17.0","","","","","","","","","","","","","","","","","",""
"645.6599999219179","<p>E</p>","72","combine","categorize-html","138","443598","0.0-0.0-9.0-2.0-18.0","true","false","72","-1","","1","3","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","139","444354","0.0-0.0-9.0-2.0-19.0","","","","","","","","","","","","","","","","","",""
"2726.974999997765","<p>Your accuracy was <strong>80.00%</strong>.</p><p>You will need to be at least 85% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to practice this again.</p>","32","","html-keyboard-response","140","447082","0.0-0.0-9.0-3.0-0.0","","","","","80.00","","","","","","","","","","","","",""
"2832.470000255853","<p>You're not at 85% accuracy on this task.</p><p>Let's try one more time. Try your best! If we can't reach 85% accuracy, then this experment will end.</p>","32","instructions","html-keyboard-response","141","449916","0.0-0.0-10.0-0.0","","","","","","","","","0.00","","","","","","","","",""
"983.4199999459088","<img src=""./static/img/fractal2.png"" width=""250"" height=""250""","32","","html-keyboard-response","142","450901","0.0-0.0-11.0-0.0-0.0","","","","","","","","","","","","","","","","","",""
"1030.2499998360872","<p>This task is a combination of the two tasks you just practiced.</p><p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw 3 trials ago (we call this a ""3-back match"").</p> <p>If the image on screen was not the one you saw 3 trials ago (not a ""3-back match""), do not press anything.</p><p>If you see a T, press <strong>K</strong> as fast as you can.</p><p>T's count in the sequence of letters for a 3-back match.</p><p>You should only ever press K when you see a T.</p><p>You will now be given three attempts to practice this task until you are at least 85% accurate on it.</p><p>If you don't reach 85% accuracy in three attempts, you will not move on to the real experiment.</p><p>Press space to begin.</p>","32","","html-keyboard-response","143","451933","0.0-0.0-11.0-1.0-0.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","combine","categorize-html","144","453461","0.0-0.0-11.0-2.0-0.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","145","454215","0.0-0.0-11.0-2.0-1.0","","","","","","","","","","","","","","","","","",""
"null","<p>X</p>","null","combine","categorize-html","146","455730","0.0-0.0-11.0-2.0-2.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","147","456492","0.0-0.0-11.0-2.0-3.0","","","","","","","","","","","","","","","","","",""
"561.4500003866851","<p>T</p>","75","combine","categorize-html","148","457056","0.0-0.0-11.0-2.0-4.0","true","true","75","-1","","0","3","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","149","457817","0.0-0.0-11.0-2.0-5.0","","","","","","","","","","","","","","","","","",""
"null","<p>R</p>","null","combine","categorize-html","150","459324","0.0-0.0-11.0-2.0-6.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","151","460089","0.0-0.0-11.0-2.0-7.0","","","","","","","","","","","","","","","","","",""
"null","<p>E</p>","null","combine","categorize-html","152","461595","0.0-0.0-11.0-2.0-8.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null"," ","null","feedback","html-keyboard-response","153","462349","0.0-0.0-11.0-2.0-9.0","","","","","","","","","","","","","","","","","",""
"710.3549996390939","<p>T</p>","72","combine","categorize-html","154","463062","0.0-0.0-11.0-2.0-10.0","true","true","72","-1","","0","3","true","","","","","","","","","",""
"null","Correct!","null","feedback","html-keyboard-response","155","463815","0.0-0.0-11.0-2.0-11.0","","","","","","","","","","","","","","","","","",""
"1248.5700002871454","<p>E</p>","75","combine","categorize-html","156","465066","0.0-0.0-11.0-2.0-12.0","false","false","90","-1","","0","3","true","","","","","","","","","",""
"null","Not a match! Press nothing.","null","feedback","html-keyboard-response","157","465832","0.0-0.0-11.0-2.0-13.0","","","","","","","","","","","","","","","","","",""
