"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","detect","correct_key","tasknum","training_performance","nback","n","practice","practice_accuracy","response","slider_start","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"","categorize-html","10","288185","0.0-1.0-1.0-2.0-6.0","433.3299999998417","<p>T</p>","75","detection","true","true","75","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","11","288940","0.0-1.0-1.0-2.0-7.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","12","290446","0.0-1.0-1.0-2.0-8.0","null","<p>X</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","13","291201","0.0-1.0-1.0-2.0-9.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","14","292713","0.0-1.0-1.0-2.0-10.0","null","<p>X</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","15","293467","0.0-1.0-1.0-2.0-11.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","16","294983","0.0-1.0-1.0-2.0-12.0","null","<p>R</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","17","295736","0.0-1.0-1.0-2.0-13.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","18","297249","0.0-1.0-1.0-2.0-14.0","null","<p>R</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","19","298005","0.0-1.0-1.0-2.0-15.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","20","298359","0.0-1.0-1.0-2.0-16.0","350.7800000079442","<p>T</p>","75","detection","true","true","75","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","21","299124","0.0-1.0-1.0-2.0-17.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","22","300628","0.0-1.0-1.0-2.0-18.0","null","<p>R</p>","null","detection","false","false","90","-1","","","","","","","","","","","","","",""
"","html-keyboard-response","23","301392","0.0-1.0-1.0-2.0-19.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","309315","0.0-1.0-1.0-3.0","7919.654999976046","<p>Your accuracy was <strong>100.00%</strong>.</p><p>You will need to be at least 85% accurate to earn points in the real experiment.</p><p>In the real experiment, you will not receive the same feedback as during practice.</p><p>Press the space bar to continue. </p>","32","debrief","","","","","100.00","","","","","","","","","","","","",""
"","html-keyboard-response","25","314711","0.0-1.0-2.0-0.0-0.0","5394.724999991013","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","348924","0.0-1.0-2.0-1.0-0.0","34211.60500001861","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>1</strong> trial ago.</p> <p>If the image on screen was not the one you saw <strong>1</strong> trial ago, do not press anything.</p><p>Pay attention! If you are not at least 85% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/1-back.png><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","",""
"","categorize-html","27","350443","0.0-1.0-2.0-2.0-0.0","null","<p>X</p>","null","n-back","false","","90","-1","","false","1","true","","","","","","","","","",""
"","html-keyboard-response","28","351199","0.0-1.0-2.0-2.0-1.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","29","352712","0.0-1.0-2.0-2.0-2.0","null","<p>R</p>","null","n-back","false","","90","-1","","false","1","true","","","","","","","","","",""
"","html-keyboard-response","30","353463","0.0-1.0-2.0-2.0-3.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","31","354978","0.0-1.0-2.0-2.0-4.0","null","<p>R</p>","null","n-back","false","","72","-1","","true","1","true","","","","","","","","","",""
"","html-keyboard-response","32","355731","0.0-1.0-2.0-2.0-5.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","33","357252","0.0-1.0-2.0-2.0-6.0","null","<p>X</p>","null","n-back","false","","90","-1","","false","1","true","","","","","","","","","",""
"","html-keyboard-response","34","358024","0.0-1.0-2.0-2.0-7.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","35","359536","0.0-1.0-2.0-2.0-8.0","null","<p>X</p>","null","n-back","false","","72","-1","","true","1","true","","","","","","","","","",""
"","html-keyboard-response","36","360302","0.0-1.0-2.0-2.0-9.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","37","361813","0.0-1.0-2.0-2.0-10.0","null","<p>X</p>","null","n-back","false","","72","-1","","true","1","true","","","","","","","","","",""
"","html-keyboard-response","38","362566","0.0-1.0-2.0-2.0-11.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","39","364084","0.0-1.0-2.0-2.0-12.0","null","<p>X</p>","null","n-back","false","","72","-1","","true","1","true","","","","","","","","","",""
"","html-keyboard-response","40","364838","0.0-1.0-2.0-2.0-13.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","41","366351","0.0-1.0-2.0-2.0-14.0","null","<p>R</p>","null","n-back","false","","90","-1","","false","1","true","","","","","","","","","",""
"","html-keyboard-response","42","367117","0.0-1.0-2.0-2.0-15.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","43","368628","0.0-1.0-2.0-2.0-16.0","null","<p>X</p>","null","n-back","false","","90","-1","","false","1","true","","","","","","","","","",""
"","html-keyboard-response","44","369381","0.0-1.0-2.0-2.0-17.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","45","370904","0.0-1.0-2.0-2.0-18.0","null","<p>X</p>","null","n-back","false","","72","-1","","true","1","true","","","","","","","","","",""
"","html-keyboard-response","46","371665","0.0-1.0-2.0-2.0-19.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","47","391105","0.0-1.0-2.0-3.0","19437.57999999798","<p>Your accuracy was <strong>50.00%</strong>.</p><p>You will need to be at least 85% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","","","","","50.00","","","","","","","","","","","","",""
"","html-keyboard-response","48","393209","0.0-1.0-3.0-0.0-0.0","2102.0450000069104","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","49","417560","0.0-1.0-3.0-1.0-0.0","24351.29500000039","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>2</strong> trials ago.</p> <p>If the image on screen was not the one you saw <strong>2</strong> trials ago, do not press anything.</p><p>Pay attention! If you are not at least 85% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/2-back.png><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","",""
"","categorize-html","50","419077","0.0-1.0-3.0-2.0-0.0","null","<p>R</p>","null","n-back","false","","90","-1","","false","2","true","","","","","","","","","",""
"","html-keyboard-response","51","419832","0.0-1.0-3.0-2.0-1.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","52","421343","0.0-1.0-3.0-2.0-2.0","null","<p>E</p>","null","n-back","false","","90","-1","","false","2","true","","","","","","","","","",""
"","html-keyboard-response","53","422104","0.0-1.0-3.0-2.0-3.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","54","422423","0.0-1.0-3.0-2.0-4.0","316.20999998995103","<p>X</p>","72","n-back","false","","90","-1","","false","2","true","","","","","","","","","",""
"","html-keyboard-response","55","423191","0.0-1.0-3.0-2.0-5.0","null","Not a match! Press nothing.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","56","424698","0.0-1.0-3.0-2.0-6.0","null","<p>X</p>","null","n-back","false","","90","-1","","false","2","true","","","","","","","","","",""
"","html-keyboard-response","57","425453","0.0-1.0-3.0-2.0-7.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","58","426974","0.0-1.0-3.0-2.0-8.0","null","<p>E</p>","null","n-back","false","","90","-1","","false","2","true","","","","","","","","","",""
"","html-keyboard-response","59","427728","0.0-1.0-3.0-2.0-9.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","60","429241","0.0-1.0-3.0-2.0-10.0","null","<p>R</p>","null","n-back","false","","90","-1","","false","2","true","","","","","","","","","",""
"","html-keyboard-response","61","429996","0.0-1.0-3.0-2.0-11.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","62","431511","0.0-1.0-3.0-2.0-12.0","null","<p>E</p>","null","n-back","false","","72","-1","","true","2","true","","","","","","","","","",""
"","html-keyboard-response","63","432276","0.0-1.0-3.0-2.0-13.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","64","433787","0.0-1.0-3.0-2.0-14.0","null","<p>X</p>","null","n-back","false","","90","-1","","false","2","true","","","","","","","","","",""
"","html-keyboard-response","65","434544","0.0-1.0-3.0-2.0-15.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","66","436065","0.0-1.0-3.0-2.0-16.0","null","<p>E</p>","null","n-back","false","","72","-1","","true","2","true","","","","","","","","","",""
"","html-keyboard-response","67","436817","0.0-1.0-3.0-2.0-17.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","68","438328","0.0-1.0-3.0-2.0-18.0","null","<p>R</p>","null","n-back","false","","90","-1","","false","2","true","","","","","","","","","",""
"","html-keyboard-response","69","439087","0.0-1.0-3.0-2.0-19.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","70","441161","0.0-1.0-3.0-3.0","2072.954999981448","<p>Your accuracy was <strong>70.00%</strong>.</p><p>You will need to be at least 85% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","","","","","70.00","","","","","","","","","","","","",""
"","html-keyboard-response","71","442875","0.0-1.0-4.0-0.0-0.0","1712.2699999890756","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","72","456082","0.0-1.0-4.0-1.0-0.0","13205.749999993714","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>3</strong> trials ago.</p> <p>If the image on screen was not the one you saw <strong>3</strong> trials ago, do not press anything.</p><p>Pay attention! If you are not at least 85% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/3-back.png><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","",""
"","categorize-html","73","457586","0.0-1.0-4.0-2.0-0.0","null","<p>R</p>","null","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","74","458339","0.0-1.0-4.0-2.0-1.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","75","459851","0.0-1.0-4.0-2.0-2.0","null","<p>R</p>","null","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","76","460606","0.0-1.0-4.0-2.0-3.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","77","462126","0.0-1.0-4.0-2.0-4.0","null","<p>X</p>","null","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","78","462878","0.0-1.0-4.0-2.0-5.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","79","463229","0.0-1.0-4.0-2.0-6.0","348.0699999781791","<p>E</p>","72","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","80","463988","0.0-1.0-4.0-2.0-7.0","null","Not a match! Press nothing.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","81","465492","0.0-1.0-4.0-2.0-8.0","null","<p>E</p>","null","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","82","466244","0.0-1.0-4.0-2.0-9.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","83","467759","0.0-1.0-4.0-2.0-10.0","null","<p>X</p>","null","n-back","false","","72","-1","","true","3","true","","","","","","","","","",""
"","html-keyboard-response","84","468512","0.0-1.0-4.0-2.0-11.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","85","469157","0.0-1.0-4.0-2.0-12.0","643.2399999757763","<p>E</p>","72","n-back","true","","72","-1","","true","3","true","","","","","","","","","",""
"","html-keyboard-response","86","469910","0.0-1.0-4.0-2.0-13.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","87","470711","0.0-1.0-4.0-2.0-14.0","799.3550000246614","<p>E</p>","72","n-back","true","","72","-1","","true","3","true","","","","","","","","","",""
"","html-keyboard-response","88","471466","0.0-1.0-4.0-2.0-15.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","89","472975","0.0-1.0-4.0-2.0-16.0","null","<p>X</p>","null","n-back","false","","72","-1","","true","3","true","","","","","","","","","",""
"","html-keyboard-response","90","473730","0.0-1.0-4.0-2.0-17.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","91","474203","0.0-1.0-4.0-2.0-18.0","470.9149999835063","<p>E</p>","72","n-back","true","","72","-1","","true","3","true","","","","","","","","","",""
"","html-keyboard-response","92","474965","0.0-1.0-4.0-2.0-19.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","93","477755","0.0-1.0-4.0-3.0","2787.095000006957","<p>Your accuracy was <strong>70.00%</strong>.</p><p>You will need to be at least 85% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","","","","","70.00","","","","","","","","","","","","",""
"","html-keyboard-response","94","480690","0.0-1.0-5.0-0.0","2934.0850000153296","<p>Let's try this practice task once more. You have to be 85% accurate to progress to the real experiment.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","100.00","","","","","","","","",""
"","html-keyboard-response","95","482059","0.0-1.0-6.0-0.0-0.0","1367.3000000126194","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","96","484937","0.0-1.0-6.0-1.0-0.0","2876.0249999759253","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>3</strong> trials ago.</p> <p>If the image on screen was not the one you saw <strong>3</strong> trials ago, do not press anything.</p><p>Pay attention! If you are not at least 85% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/3-back.png><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","",""
"","categorize-html","97","485555","0.0-1.0-6.0-2.0-0.0","614.7699999855831","<p>E</p>","72","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","98","486306","0.0-1.0-6.0-2.0-1.0","null","Not a match! Press nothing.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","99","487801","0.0-1.0-6.0-2.0-2.0","1492.9399999964517","<p>R</p>","72","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","100","488555","0.0-1.0-6.0-2.0-3.0","null","Not a match! Press nothing.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","101","488964","0.0-1.0-6.0-2.0-4.0","406.505000020843","<p>X</p>","72","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","102","489718","0.0-1.0-6.0-2.0-5.0","null","Not a match! Press nothing.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","103","490090","0.0-1.0-6.0-2.0-6.0","369.6050000144169","<p>X</p>","72","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","104","490846","0.0-1.0-6.0-2.0-7.0","null","Not a match! Press nothing.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","105","491332","0.0-1.0-6.0-2.0-8.0","484.08500000368804","<p>R</p>","72","n-back","true","","72","-1","","true","3","true","","","","","","","","","",""
"","html-keyboard-response","106","492086","0.0-1.0-6.0-2.0-9.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","107","493592","0.0-1.0-6.0-2.0-10.0","null","<p>E</p>","null","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","108","494345","0.0-1.0-6.0-2.0-11.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","109","495857","0.0-1.0-6.0-2.0-12.0","null","<p>X</p>","null","n-back","false","","72","-1","","true","3","true","","","","","","","","","",""
"","html-keyboard-response","110","496625","0.0-1.0-6.0-2.0-13.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","111","498139","0.0-1.0-6.0-2.0-14.0","null","<p>X</p>","null","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","112","498908","0.0-1.0-6.0-2.0-15.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","113","499347","0.0-1.0-6.0-2.0-16.0","436.0300000116695","<p>R</p>","72","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","114","500104","0.0-1.0-6.0-2.0-17.0","null","Not a match! Press nothing.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","115","501611","0.0-1.0-6.0-2.0-18.0","null","<p>R</p>","null","n-back","false","","90","-1","","false","3","true","","","","","","","","","",""
"","html-keyboard-response","116","502366","0.0-1.0-6.0-2.0-19.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","117","503429","0.0-1.0-6.0-3.0","1061.7749999801163","<p>Your accuracy was <strong>40.00%</strong>.</p><p>You will need to be at least 85% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","","","","","40.00","","","","","","","","","","","","",""
"","html-keyboard-response","118","505865","0.0-1.0-7.0-0.0-0.0","2435.1349999778904","<img src=""./static/img/fractal1.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","119","564984","0.0-1.0-7.0-1.0-0.0","59116.80499999784","<p>This task is a combination of the two tasks you just practiced.</p><p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw 3 trials ago (we call this a ""3-back match"").</p> <p>If the image on screen was not the one you saw 3 trials ago (not a ""3-back match""), do not press anything.</p><p>If you see a T, press <strong>K</strong> as fast as you can.</p><p>T's count in the sequence of letters for a 3-back match.</p><p>A T might be a 3-back match, but ignore that. Just press K when you see a T.</p><p>You will now be given three attempts to practice this task until you are at least 85% accurate on it.</p><p>If you don't reach 85% accuracy in three attempts, you will not move on to the real experiment.</p><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","",""
"","categorize-html","120","566489","0.0-1.0-7.0-2.0-0.0","null","<p>E</p>","null","combine","false","false","90","-1","","0","3","true","","","","","","","","","",""
"","html-keyboard-response","121","567244","0.0-1.0-7.0-2.0-1.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","122","568757","0.0-1.0-7.0-2.0-2.0","null","<p>T</p>","null","combine","false","true","90","-1","","0","3","true","","","","","","","","","",""
"","html-keyboard-response","123","569511","0.0-1.0-7.0-2.0-3.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","124","571034","0.0-1.0-7.0-2.0-4.0","null","<p>R</p>","null","combine","false","false","90","-1","","0","3","true","","","","","","","","","",""
"","html-keyboard-response","125","571788","0.0-1.0-7.0-2.0-5.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","126","572508","0.0-1.0-7.0-2.0-6.0","717.5149999966379","<p>E</p>","75","combine","false","false","72","-1","","1","3","true","","","","","","","","","",""
"","html-keyboard-response","127","573263","0.0-1.0-7.0-2.0-7.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","128","574774","0.0-1.0-7.0-2.0-8.0","null","<p>X</p>","null","combine","false","false","90","-1","","0","3","true","","","","","","","","","",""
"","html-keyboard-response","129","575529","0.0-1.0-7.0-2.0-9.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","130","575994","0.0-1.0-7.0-2.0-10.0","463.55499999481253","<p>R</p>","72","combine","true","false","72","-1","","1","3","true","","","","","","","","","",""
"","html-keyboard-response","131","576761","0.0-1.0-7.0-2.0-11.0","null","Correct!","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","132","578264","0.0-1.0-7.0-2.0-12.0","null","<p>E</p>","null","combine","false","false","72","-1","","1","3","true","","","","","","","","","",""
"","html-keyboard-response","133","579023","0.0-1.0-7.0-2.0-13.0","513.1750000000466","Press <strong>H</strong> when you see a match.","72","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","134","580536","0.0-1.0-7.0-2.0-14.0","null","<p>X</p>","null","combine","false","false","72","-1","","1","3","true","","","","","","","","","",""
"","html-keyboard-response","135","581294","0.0-1.0-7.0-2.0-15.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","136","582805","0.0-1.0-7.0-2.0-16.0","null","<p>X</p>","null","combine","false","false","90","-1","","0","3","true","","","","","","","","","",""
"","html-keyboard-response","137","583561","0.0-1.0-7.0-2.0-17.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","138","585082","0.0-1.0-7.0-2.0-18.0","null","<p>X</p>","null","combine","false","false","90","-1","","0","3","true","","","","","","","","","",""
"","html-keyboard-response","139","585836","0.0-1.0-7.0-2.0-19.0","null"," ","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","140","587349","0.0-1.0-7.0-2.0-20.0","null","<p>X</p>","null","combine","false","false","72","-1","","1","3","true","","","","","","","","","",""
"","html-keyboard-response","141","588104","0.0-1.0-7.0-2.0-21.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","142","589631","0.0-1.0-7.0-2.0-22.0","null","<p>X</p>","null","combine","false","false","72","-1","","1","3","true","","","","","","","","","",""
"","html-keyboard-response","143","590383","0.0-1.0-7.0-2.0-23.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","144","590994","0.0-1.0-7.0-2.0-24.0","607.9400000162423","<p>T</p>","72","combine","false","true","75","-1","","0","3","true","","","","","","","","","",""
"","html-keyboard-response","145","591748","0.0-1.0-7.0-2.0-25.0","null","Press <strong>K</strong> when you see a T.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","146","593265","0.0-1.0-7.0-2.0-26.0","null","<p>X</p>","null","combine","false","false","72","-1","","1","3","true","","","","","","","","","",""
"","html-keyboard-response","147","594019","0.0-1.0-7.0-2.0-27.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","categorize-html","148","595530","0.0-1.0-7.0-2.0-28.0","null","<p>X</p>","null","combine","false","false","72","-1","","1","3","true","","","","","","","","","",""
"","html-keyboard-response","149","596284","0.0-1.0-7.0-2.0-29.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","150","598151","0.0-1.0-7.0-3.0-0.0","1864.4599999825004","<p>Your accuracy was <strong>40.00%</strong>.</p><p>You will need to be at least 85% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to practice this again.</p>","32","","","","","","40.00","","","","","","","","","","","","",""
"","html-keyboard-response","151","599779","0.0-1.0-8.0-0.0","1627.2250000038184","<p>Let's try this practice task again. You have to be 85% accurate to progress to the real experiment.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","","","","","0.00","","","","","","","","",""
"","html-keyboard-response","152","600468","0.0-1.0-9.0-0.0-0.0","686.7400000046473","<img src=""./static/img/fractal1.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","153","612434","0.0-1.0-9.0-1.0-0.0","11965.369999990799","<p>This task is a combination of the two tasks you just practiced.</p><p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw 3 trials ago (we call this a ""3-back match"").</p> <p>If the image on screen was not the one you saw 3 trials ago (not a ""3-back match""), do not press anything.</p><p>If you see a T, press <strong>K</strong> as fast as you can.</p><p>T's count in the sequence of letters for a 3-back match.</p><p>A T might be a 3-back match, but ignore that. Just press K when you see a T.</p><p>You will now be given three attempts to practice this task until you are at least 85% accurate on it.</p><p>If you don't reach 85% accuracy in three attempts, you will not move on to the real experiment.</p><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","",""
"","categorize-html","154","613941","0.0-1.0-9.0-2.0-0.0","null","<p>X</p>","null","combine","false","false","90","-1","","0","3","true","","","","","","","","","",""
