"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","task","correct","detect","correct_key","tasknum","practice_accuracy","practice","nback","n","response","BDMquizgrade","slider_start","stimnum","TOT","overall","performance_by_block","points_list","value_list","offer_list"
"","categorize-html","56","284583","0.0-1.0-3.0-2.0-6.0","null","<p>R</p>","null","n-back","false","","72","-1","","true","true","2","","","","","","","","","",""
"","html-keyboard-response","57","285340","0.0-1.0-3.0-2.0-7.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","58","286870","0.0-1.0-3.0-2.0-8.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","",""
"","html-keyboard-response","59","287631","0.0-1.0-3.0-2.0-9.0","359.35499984771013"," ","72","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","60","289151","0.0-1.0-3.0-2.0-10.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","",""
"","html-keyboard-response","61","289907","0.0-1.0-3.0-2.0-11.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","62","291430","0.0-1.0-3.0-2.0-12.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","",""
"","html-keyboard-response","63","292196","0.0-1.0-3.0-2.0-13.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","64","293716","0.0-1.0-3.0-2.0-14.0","null","<p>X</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","",""
"","html-keyboard-response","65","294479","0.0-1.0-3.0-2.0-15.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","66","295599","0.0-1.0-3.0-2.0-16.0","1117.3150001559407","<p>E</p>","72","n-back","true","","72","-1","","true","true","2","","","","","","","","","",""
"","html-keyboard-response","67","296356","0.0-1.0-3.0-2.0-17.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","68","297879","0.0-1.0-3.0-2.0-18.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","2","","","","","","","","","",""
"","html-keyboard-response","69","298645","0.0-1.0-3.0-2.0-19.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","html-keyboard-response","70","303524","0.0-1.0-3.0-3.0","4876.909999875352","<p>Your accuracy was <strong>90.00%</strong>.</p><p>You will need to be at least 80% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","","","","","90.00","true","","","","","","","","","","","",""
"","html-keyboard-response","71","309399","0.0-1.0-4.0-0.0-0.0","5873.420000076294","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","72","320610","0.0-1.0-4.0-1.0-0.0","11209.26499995403","<p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw <strong>3</strong> letters ago.</p> <p>If the letter on screen was not the one you saw <strong>3</strong> letters ago, do not press anything.</p><p>Pay attention! If you are not at least 80% accurate by the last practice game, you will not progress to the real experiment.</p><img src=./static/img/3-back.png><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","",""
"","categorize-html","73","322124","0.0-1.0-4.0-2.0-0.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","3","","","","","","","","","",""
"","html-keyboard-response","74","322886","0.0-1.0-4.0-2.0-1.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","75","324404","0.0-1.0-4.0-2.0-2.0","null","<p>X</p>","null","n-back","false","","90","-1","","true","false","3","","","","","","","","","",""
"","html-keyboard-response","76","325159","0.0-1.0-4.0-2.0-3.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","77","326679","0.0-1.0-4.0-2.0-4.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","3","","","","","","","","","",""
"","html-keyboard-response","78","327432","0.0-1.0-4.0-2.0-5.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","79","328001","0.0-1.0-4.0-2.0-6.0","566.3499999791384","<p>R</p>","72","n-back","true","","72","-1","","true","true","3","","","","","","","","","",""
"","html-keyboard-response","80","328756","0.0-1.0-4.0-2.0-7.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","81","330262","0.0-1.0-4.0-2.0-8.0","null","<p>E</p>","null","n-back","false","","90","-1","","true","false","3","","","","","","","","","",""
"","html-keyboard-response","82","331021","0.0-1.0-4.0-2.0-9.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","83","332552","0.0-1.0-4.0-2.0-10.0","null","<p>R</p>","null","n-back","false","","90","-1","","true","false","3","","","","","","","","","",""
"","html-keyboard-response","84","333322","0.0-1.0-4.0-2.0-11.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","85","333668","0.0-1.0-4.0-2.0-12.0","342.7450000308454","<p>E</p>","72","n-back","false","","90","-1","","true","false","3","","","","","","","","","",""
"","html-keyboard-response","86","334446","0.0-1.0-4.0-2.0-13.0","null","Not a match! Press nothing.","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","87","335960","0.0-1.0-4.0-2.0-14.0","null","<p>E</p>","null","n-back","false","","72","-1","","true","true","3","","","","","","","","","",""
"","html-keyboard-response","88","336718","0.0-1.0-4.0-2.0-15.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","89","337196","0.0-1.0-4.0-2.0-16.0","474.65999983251095","<p>R</p>","72","n-back","true","","72","-1","","true","true","3","","","","","","","","","",""
"","html-keyboard-response","90","337965","0.0-1.0-4.0-2.0-17.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","91","339481","0.0-1.0-4.0-2.0-18.0","null","<p>X</p>","null","n-back","false","","90","-1","","true","false","3","","","","","","","","","",""
"","html-keyboard-response","92","340235","0.0-1.0-4.0-2.0-19.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","html-keyboard-response","93","347329","0.0-1.0-4.0-3.0","7092.094999970868","<p>Your accuracy was <strong>80.00%</strong>.</p><p>You will need to be at least 80% accurate during the study to earn points.</p><p>Please remember that you will not receive feedback like this during the real experiment.</p><p>Press the space bar to continue.</p>","32","","","","","","80.00","true","","","","","","","","","","","",""
"","html-keyboard-response","94","352530","0.0-1.0-5.0-0.0","5198.6750001087785","<p>Good job! You have reached 80% accuracy on this practice task. We will now move on.</p><p>[Press the space bar to continue.]</p>","32","instructions","","","","","100.00","","","","","","","","","","","","",""
"","html-keyboard-response","95","355881","0.0-1.0-7.0-0.0-0.0-0.0","3349.7750000096858","<img src=""./static/img/fractal1.jpg"" width=""250"" height=""250""","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","96","397792","0.0-1.0-7.0-0.0-1.0-0.0","41908.02500001155","<p>This task is a combination of the two tasks you just practiced.</p><p>In this task, you will need to press <strong>H</strong> every time you see the same letter you saw 3 letters ago (we call this a ""3-back match"").</p> <p>If the letter on screen was not the one you saw 3 trials ago (not a ""3-back match""), do not press anything.</p><p>If you see a T, press <strong>K</strong> as fast as you can.</p><p>T's count in the sequence of letters for a 3-back match.</p><p>A T might be a 3-back match, but ignore that. Just press K when you see a T.</p><p>You will now be given six chances to practice this task until you are at least 80% accurate on it.</p><p>If you don't reach 80% accuracy in six attempts, you will not move on to the real experiment.</p><p>Press space to begin.</p>","32","","","","","","","","","","","","","","","","","","",""
"","categorize-html","97","399299","0.0-1.0-7.0-0.0-2.0-0.0","null","<p>E</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","",""
"","html-keyboard-response","98","400064","0.0-1.0-7.0-0.0-2.0-1.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","99","401593","0.0-1.0-7.0-0.0-2.0-2.0","null","<p>R</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","",""
"","html-keyboard-response","100","402356","0.0-1.0-7.0-0.0-2.0-3.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","101","403870","0.0-1.0-7.0-0.0-2.0-4.0","null","<p>E</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","",""
"","html-keyboard-response","102","404628","0.0-1.0-7.0-0.0-2.0-5.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","103","406160","0.0-1.0-7.0-0.0-2.0-6.0","null","<p>R</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","",""
"","html-keyboard-response","104","406919","0.0-1.0-7.0-0.0-2.0-7.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","105","408103","0.0-1.0-7.0-0.0-2.0-8.0","1180.9549999888986","<p>R</p>","72","combine","true","false","72","-1","","true","1","3","","","","","","","","","",""
"","html-keyboard-response","106","408869","0.0-1.0-7.0-0.0-2.0-9.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","107","410375","0.0-1.0-7.0-0.0-2.0-10.0","null","<p>E</p>","null","combine","false","false","72","-1","","true","1","3","","","","","","","","","",""
"","html-keyboard-response","108","411128","0.0-1.0-7.0-0.0-2.0-11.0","null","Press <strong>H</strong> when you see a match.","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","109","411320","0.0-1.0-7.0-0.0-2.0-12.0","187.69000004976988","<p>R</p>","72","combine","true","false","72","-1","","true","1","3","","","","","","","","","",""
"","html-keyboard-response","110","412073","0.0-1.0-7.0-0.0-2.0-13.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","111","413590","0.0-1.0-7.0-0.0-2.0-14.0","null","<p>E</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","",""
"","html-keyboard-response","112","414353","0.0-1.0-7.0-0.0-2.0-15.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","113","415337","0.0-1.0-7.0-0.0-2.0-16.0","980.6999999564141","<p>E</p>","72","combine","true","false","72","-1","","true","1","3","","","","","","","","","",""
"","html-keyboard-response","114","416104","0.0-1.0-7.0-0.0-2.0-17.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","115","417573","0.0-1.0-7.0-0.0-2.0-18.0","1466.4699998684227","<p>R</p>","72","combine","true","false","72","-1","","true","1","3","","","","","","","","","",""
"","html-keyboard-response","116","418330","0.0-1.0-7.0-0.0-2.0-19.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","117","419837","0.0-1.0-7.0-0.0-2.0-20.0","null","<p>X</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","",""
"","html-keyboard-response","118","420596","0.0-1.0-7.0-0.0-2.0-21.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","119","421483","0.0-1.0-7.0-0.0-2.0-22.0","884.4200000166893","<p>T</p>","75","combine","true","true","75","-1","","true","0","3","","","","","","","","","",""
"","html-keyboard-response","120","422253","0.0-1.0-7.0-0.0-2.0-23.0","null","Correct!","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","121","423766","0.0-1.0-7.0-0.0-2.0-24.0","null","<p>R</p>","null","combine","false","false","72","-1","","true","1","3","","","","","","","","","",""
"","html-keyboard-response","122","424530","0.0-1.0-7.0-0.0-2.0-25.0","626.8799998797476","Press <strong>H</strong> when you see a match.","72","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","123","426054","0.0-1.0-7.0-0.0-2.0-26.0","null","<p>E</p>","null","combine","false","false","90","-1","","true","0","3","","","","","","","","","",""
"","html-keyboard-response","124","426815","0.0-1.0-7.0-0.0-2.0-27.0","null"," ","null","feedback","","","","","","true","","","","","","","","","","","",""
"","categorize-html","125","427555","0.0-1.0-7.0-0.0-2.0-28.0","737.6650001388043","<p>T</p>","75","combine","false","true","72","-1","","true","0","3","","","","","","","","","",""
"","html-keyboard-response","126","428311","0.0-1.0-7.0-0.0-2.0-29.0","null","Press <strong>K</strong> when you see a T.","null","feedback","","","","","","true","","","","","","","","","","","",""
"","html-keyboard-response","127","435753","0.0-1.0-7.0-16.0-0.0","7438.460000092164","<p>Good job! You have reached 80% accuracy on this practice task. We will now move on.</p><p>[Press the space bar to continue.]</p>","32","debrief","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","128","505707","0.0-1.0-8.0-0.0-0.0","69950.53500006907","<p>Please read these instructions carefully, as you will be tested on your understanding of them.</p><p>Before each round begins, you will be asked how many points is a fair wage to be at least 80% accurate at one of the tasks you just practiced.</p><p>We want you to tell us truthfully how many points is a fair wage, and so we are using a payment process where <strong>telling the truth is the best strategy.</strong></p><p>This means that <strong>you have some control over what you will be paid</strong> at the end of the experiment.</p><p>Whenever given a choice, <strong> the best thing you can do is to always ask for what you consider to be a fair wage for at least 80% accuracy on the task.</strong></p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","129","538687","0.0-1.0-8.0-1.0-0.0","32978.434999939054","<p>What do we mean by ""fair wage""?</p><p>When you get hired to complete some work, you may ask for more or less payment based on how much you would enjoy doing that work.</p><p>For example, you might dislike mowing the lawn more than watering the garden, and may ask for more in return for mowing the lawn.</p><p>A fair wage for you is the amount of points you think it would be fair for you to receive in exchange for your completion of the task.</p><p>While you won't get paid exactly what you ask for, the best strategy is to ask for what you truly believe is a fair wage for you.</p><p>We're not going to get into the exact reasons why until the end of the experiment.</p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","130","585447","0.0-1.0-8.0-2.0-0.0","46758.30499990843","<p>In short, once you report your fair wage, the computer will present you with a <strong> random offer.</strong></p><p>If you ask for fewer points than the computer offers you, then you will complete the task and be given the points the computer offered.</p><p>Say you ask for 3 points and the computer offers 4, then if you pass the task with at least 80% accuracy, you will be given 4 points.</p><p>If you ask for more points than the computer offers you, then you will do a different task on that round. The alternate task is worth <strong>1 point.</strong></p><p>For example, if you ask for 5 points and the computer offers 4 points, then you will do something else and be given 1 point.</p><p>There is no way to game the payment system. You will either get the computer's random point offer, or 1 point for an alternative task.</p><p>[Press the space bar to continue.]</p>","32","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","131","601713","0.0-1.0-8.0-3.0-0.0-0.0","16258.375000208616","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","","instructs","","","","","","","","","52","","","","","","","","",""
"","html-keyboard-response","132","616423","0.0-1.0-8.0-3.0-1.0-0.0","14707.679999992251","<p>You asked for 3.08 points.</p><p>The computer offered 4.88 points.</p><p>Because the computer's offer is larger, you would move onto the pictured task and, if you achieved 80% accuracy on this task, you would be given 4.88 points at the end.</p><p>Press the space bar to continue.</p>","32","","","","","","","","","","","","","","","","","","",""
"","html-slider-response","133","621685","0.0-1.0-8.0-3.0-2.0-0.0","5258.009999990463","<img src=""./static/img/fractal3.jpg"" width=""250"" height=""250""","","instructs","","","","","","","","","96","","","","","","","","",""
"","html-keyboard-response","134","634359","0.0-1.0-8.0-3.0-3.0-0.0","12672.114999964833","<p>You asked for 4.84 points.</p><p>The computer offered 1.24 points.</p><p>Because the computer's offer is smaller, you would skip the pictured task and, if you achieved 80% accuracy on an alternate task, you would be given 1 point at the end.</p><p>Press the space bar to continue.</p>","32","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","135","650159","0.0-1.0-8.0-4.0-0.0","15798.045000061393","<p><strong> Your best strategy is to always ask for what you believe is a fair wage for hitting at least 80% accuracy on 1 round of a task.</strong></p><p>We will now quiz you on the instructions you've just read. If you fail this quiz, you cannot participate in this experiment.</p><p>Press R if you'd like to read these instructions again.</p><p>Press the space bar if you'd like to move on to the quiz.</p>","32","","","","","","","","","","","","","","","","","","",""
"","categorize-html","136","660001","0.0-1.0-8.0-6.0-0.0","7827.500000130385","<p'font-size':15px>[Question 1 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p'font-size':25px>Imagine you think a true fair wage is 2 points. Which amount should you ask for?</p><p 'font-size':25px> A. 4</p><p 'font-size':25px> B. 2</p>","66","quiz","true","","","","","","","","","","","","","","","","",""
"","categorize-html","137","662158","0.0-1.0-8.0-6.0-0.1","143.91500013880432","<p'font-size':15px>[Question 2 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p><img src='./static/img/offer_big.png'></p><p'font-size':25px>What happens when you ask for <strong>more</strong> points than the computer offers?</p><p>A. You will start the pictured task, and get the points the computer offered if you pass that round.</p><p 'font-size':25px> B. You will start a different task and be given 1 point if you pass that round.</p>","32","quiz","false","","","","","","","","","","","","","","","","",""
"","categorize-html","138","677286","0.0-1.0-8.0-6.0-0.2","13111.190000083297","<p'font-size':15px>[Question 3 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p'font-size':25px>Under which of the following two conditions will you do the pictured task?</p><p>A. When you ask for 2 points, and the computer randomly offers 3 points.</p><p 'font-size':25px> B. When you ask for 2 points, and the computer randomly offers 1 point.</p>","65","quiz","true","","","","","","","","","","","","","","","","",""
"","categorize-html","139","688737","0.0-1.0-8.0-6.0-0.3","9433.28500003554","<p'font-size':15px>[Question 4 of 6]</p><p'font-size':25px>[Press A or B to indicate your answer.]</p><p><img src='./static/img/offer_small.png'></p><p'font-size':25px>What happens when you ask for <strong>fewer</strong> points than the computer offers?</p><p>A. You will start the task, and get the points the computer offered if you pass that round.</p><p 'font-size':25px> B. You will start a different task and be given 1 point if you pass that round.</p>","65","quiz","true","","","","","","","","","","","","","","","","",""
